"","age1.A","age2_no_comorbid.A","age2_comorbid.A","age3_no_comorbid.A","age3_comorbid.A"
"1",0,0,0,0,0
"2",39,36,6,3,2
"3",0,1,0,0,0
"4",39,39,3,2,3
"5",39,28,7,2,3
"6",0,0,0,0,0
"7",38,31,4,1,4
"8",0,0,0,0,0
"9",37,34,4,3,2
"10",44,34,8,4,4
"11",33,28,3,2,2
"12",0,1,0,0,0
"13",35,41,8,4,4
"14",0,1,0,0,0
"15",38,33,3,2,6
"16",34,33,8,2,4
"17",36,33,5,2,3
"18",37,27,5,2,2
"19",41,37,7,4,4
"20",0,0,0,0,0
"21",29,30,6,2,5
"22",0,0,0,0,0
"23",0,0,0,0,0
"24",0,0,0,0,0
"25",34,32,8,2,3
"26",0,0,0,0,0
"27",34,36,8,3,5
"28",37,37,5,3,6
"29",38,31,6,1,5
"30",34,29,8,4,5
"31",0,1,0,0,0
"32",34,36,4,4,2
"33",31,37,8,2,2
"34",39,31,4,3,3
"35",0,0,0,0,0
"36",29,33,5,3,6
"37",0,0,0,0,0
"38",38,41,4,4,3
"39",0,0,0,0,0
"40",32,47,6,4,6
"41",0,0,0,0,0
"42",40,37,9,5,4
"43",35,29,6,3,3
"44",0,0,0,0,0
"45",44,36,5,2,3
"46",41,28,5,1,6
"47",31,38,9,2,3
"48",42,42,7,3,5
"49",36,36,10,1,2
"50",32,37,4,3,4
"51",0,0,0,0,0
"52",30,34,3,2,3
"53",34,48,5,1,4
"54",31,42,7,3,4
"55",45,37,7,2,3
"56",0,0,0,0,0
"57",28,31,7,0,4
"58",35,38,5,1,4
"59",0,0,0,0,0
"60",0,0,0,0,0
"61",41,34,5,2,2
"62",31,25,6,3,2
"63",1,0,0,0,0
"64",31,33,7,2,5
"65",37,31,6,2,4
"66",33,30,5,2,3
"67",38,41,4,4,2
"68",0,0,0,0,0
"69",0,1,0,0,0
"70",35,29,7,5,3
"71",41,32,7,2,4
"72",35,27,5,5,4
"73",0,1,0,0,0
"74",36,34,7,3,5
"75",46,39,7,3,3
"76",47,27,5,4,5
"77",38,42,5,2,2
"78",35,33,10,1,5
"79",37,41,5,1,3
"80",38,34,2,1,4
"81",34,39,8,2,3
"82",42,32,6,3,3
"83",0,0,0,0,0
"84",32,36,7,2,4
"85",38,37,5,3,3
"86",34,32,7,2,3
"87",30,27,5,2,5
"88",30,35,9,1,3
"89",39,32,6,1,4
"90",36,27,7,3,3
"91",0,0,0,0,0
"92",32,31,4,4,2
"93",32,26,5,4,4
"94",0,0,0,0,0
"95",0,0,0,0,0
"96",28,45,7,1,4
"97",0,0,0,0,0
"98",0,0,0,0,0
"99",40,34,8,2,2
"100",0,0,0,0,0
"101",36,35,10,1,3
"102",0,0,0,0,0
"103",0,0,0,0,0
"104",23,37,6,2,4
"105",34,37,10,3,1
"106",29,33,7,2,6
"107",31,37,7,2,3
"108",41,27,7,2,3
"109",38,42,6,3,2
"110",38,38,9,1,6
"111",36,33,9,1,3
"112",45,45,5,3,4
"113",0,0,0,0,0
"114",40,37,7,2,3
"115",33,36,6,3,5
"116",31,34,4,3,3
"117",33,32,8,4,6
"118",42,45,5,3,3
"119",30,35,9,1,3
"120",39,27,8,2,2
"121",30,38,6,2,2
"122",30,27,7,2,3
"123",35,49,9,2,2
"124",0,0,0,0,0
"125",40,37,5,2,6
"126",46,34,8,1,3
"127",33,31,6,3,1
"128",41,35,6,3,4
"129",40,36,6,1,4
"130",34,33,5,1,1
"131",39,35,5,1,3
"132",46,34,6,2,2
"133",31,33,5,2,4
"134",38,47,5,2,5
"135",41,38,5,1,4
"136",20,37,5,1,4
"137",24,36,7,2,3
"138",31,40,8,2,3
"139",0,0,0,0,0
"140",33,31,9,5,3
"141",0,1,0,0,0
"142",34,38,6,2,2
"143",0,0,0,0,0
"144",0,0,0,0,0
"145",26,26,5,2,2
"146",0,1,0,0,0
"147",31,42,5,3,3
"148",0,0,0,0,0
"149",29,36,6,2,3
"150",32,34,4,2,5
"151",0,0,0,0,0
"152",35,33,4,1,2
"153",35,49,7,2,4
"154",25,34,7,1,2
"155",38,37,6,2,5
"156",38,36,5,2,2
"157",40,41,5,2,6
"158",0,0,0,0,0
"159",0,0,0,0,0
"160",48,33,6,3,3
"161",0,1,0,0,0
"162",35,32,7,3,4
"163",29,31,6,3,4
"164",34,37,4,4,2
"165",35,35,3,3,2
"166",41,31,7,5,3
"167",39,41,6,2,5
"168",36,32,6,3,2
"169",32,35,5,5,5
"170",0,0,0,0,0
"171",44,36,5,2,3
"172",33,26,9,1,4
"173",43,33,6,3,4
"174",35,36,5,3,3
"175",0,0,0,0,0
"176",33,38,8,4,3
"177",0,1,0,0,0
"178",42,40,7,2,4
"179",0,0,0,0,0
"180",41,38,10,2,3
"181",0,0,0,0,0
"182",34,31,7,5,3
"183",29,24,8,2,4
"184",36,34,5,4,5
"185",0,1,0,0,0
"186",34,32,9,4,3
"187",37,30,5,3,3
"188",0,0,0,0,0
"189",0,1,0,0,0
"190",0,0,0,0,0
