"","age1_orange.P","age2_no_comorbid_orange.P","age2_comorbid_orange.P","age3_no_comorbid_green.P","age3_comorbid_green.P"
"128",58,61,61,142,142
"129",44,47,47,101,101
"130",52,55,55,134,134
"131",50,52,52,125,125
"132",64,68,68,158,158
"133",36,38,38,85,85
"134",81,86,86,194,194
"135",39,42,42,94,94
"136",76,80,80,258,258
"137",57,60,60,154,154
"138",46,48,48,126,126
"139",52,55,55,129,129
"140",68,72,72,180,180
"141",39,42,42,88,88
"142",62,65,65,164,164
"143",54,57,57,153,153
"144",37,39,39,88,88
"145",46,49,49,116,116
"146",40,43,43,89,89
"147",56,59,59,126,126
"148",60,64,64,147,147
"149",52,55,55,115,115
"150",65,69,69,168,168
"151",54,57,57,131,131
"152",67,70,70,166,166
"153",39,41,41,92,92
"154",49,52,52,111,111
"155",30,32,32,71,71
"156",66,70,70,167,167
"157",49,52,52,112,112
"158",49,52,52,119,119
"159",38,40,40,86,86
"160",69,73,73,178,178
"161",49,52,52,108,108
"162",70,74,74,174,174
"163",49,52,52,119,119
"164",73,76,76,192,192
"165",53,56,56,133,133
"166",52,55,55,131,131
"167",46,48,48,111,111
"168",55,58,58,138,138
"169",44,47,47,101,101
"170",46,49,49,107,107
"171",58,61,61,145,145
"172",49,52,52,114,114
"173",41,43,43,93,93
"174",43,45,45,98,98
"175",38,41,41,85,85
"176",48,51,51,104,104
"177",50,53,53,120,120
"178",60,64,64,146,146
"179",48,51,51,109,109
"180",57,61,61,144,144
"181",112,117,117,366,366
"182",47,50,50,108,108
"183",46,49,49,105,105
"184",47,50,50,107,107
"185",39,41,41,83,83
"186",41,44,44,98,98
"187",81,86,86,238,238
"188",61,64,64,164,164
"189",40,42,42,97,97
"190",65,69,69,174,174
"191",44,47,47,115,115
"192",37,39,39,84,84
"193",50,53,53,113,113
"194",37,40,40,88,88
"195",72,76,76,203,203
"196",58,62,62,146,146
"197",53,56,56,123,123
"198",49,52,52,117,117
"199",47,50,50,101,101
"200",48,51,51,115,115
"201",40,42,42,94,94
"202",66,70,70,182,182
"203",54,57,57,137,137
"204",65,69,69,185,185
"205",52,55,55,121,121
"206",40,42,42,91,91
"207",64,68,68,160,160
"208",50,53,53,109,109
"209",34,36,36,77,77
"210",45,47,47,117,117
"211",39,41,41,86,86
"212",51,54,54,119,119
"213",51,54,54,118,118
"214",30,32,32,74,74
"215",66,70,70,170,170
"216",51,54,54,123,123
"217",59,63,63,138,138
"218",49,51,51,137,137
"219",56,59,59,131,131
"220",52,55,55,133,133
"221",48,51,51,108,108
"222",43,46,46,109,109
"223",49,52,52,116,116
"224",48,50,50,109,109
"225",57,61,61,140,140
"226",41,44,44,98,98
"227",40,42,42,91,91
"228",32,34,34,68,68
"229",69,72,72,190,190
"230",45,47,47,99,99
"231",51,54,54,125,125
"232",38,40,40,90,90
"233",50,53,53,110,110
"234",56,59,59,143,143
"235",62,65,65,160,160
"236",47,50,50,112,112
"237",75,79,79,207,207
"238",44,47,47,97,97
"239",52,55,55,125,125
"240",49,52,52,123,123
"241",50,52,52,120,120
"242",54,57,57,131,131
"243",52,55,55,116,116
"244",44,47,47,99,99
"245",38,40,40,90,90
"246",58,61,61,154,154
"247",44,46,46,101,101
"248",69,73,73,163,163
"249",45,48,48,109,109
"250",49,52,52,110,110
"251",58,61,61,148,148
"252",46,49,49,115,115
"253",42,44,44,106,106
"254",58,61,61,134,134
"255",42,44,44,97,97
"256",50,53,53,115,115
"257",38,41,41,93,93
"258",45,47,47,108,108
"259",55,58,58,150,150
"260",49,52,52,115,115
"261",45,48,48,107,107
"262",60,64,64,141,141
"263",48,50,50,112,112
"264",70,74,74,165,165
"265",37,39,39,91,91
"266",61,64,64,176,176
"267",47,50,50,110,110
"268",52,55,55,137,137
"269",32,34,34,73,73
"270",67,71,71,169,169
"271",60,64,64,155,155
"272",64,68,68,172,172
"273",43,46,46,102,102
"274",38,41,41,88,88
"275",35,38,38,82,82
"276",36,38,38,85,85
"277",77,81,81,215,215
"278",68,72,72,175,175
"279",52,55,55,118,118
"280",46,49,49,108,108
"281",52,54,54,138,138
"282",66,69,69,245,245
"283",52,55,55,118,118
"284",45,47,47,102,102
"285",40,43,43,95,95
"286",54,57,57,138,138
"287",47,49,49,122,122
"288",43,46,46,98,98
"289",59,62,62,141,141
"290",55,59,59,138,138
"291",52,55,55,124,124
"292",45,48,48,98,98
"293",45,48,48,99,99
"294",57,60,60,163,163
"295",44,47,47,103,103
"296",75,79,79,189,189
"297",48,50,50,118,118
"298",73,77,77,206,206
"299",43,46,46,105,105
"300",46,48,48,103,103
"301",42,45,45,94,94
"302",41,43,43,99,99
"303",44,46,46,101,101
"304",52,55,55,122,122
"305",61,64,64,154,154
"306",43,45,45,106,106
"307",100,105,105,322,322
"308",58,61,61,158,158
"309",45,47,47,113,113
"310",41,43,43,106,106
"311",60,64,64,148,148
"312",51,54,54,143,143
"313",54,57,57,133,133
"314",53,56,56,131,131
"315",63,66,66,145,145
"316",59,62,62,147,147
"317",52,55,55,118,118
"318",45,48,48,106,106
"319",48,51,51,121,121
"320",45,48,48,115,115
"321",37,39,39,89,89
"322",43,46,46,103,103
"323",57,60,60,134,134
"324",45,48,48,105,105
"325",59,62,62,151,151
"326",32,34,34,78,78
"327",44,46,46,103,103
"328",81,85,85,252,252
"329",69,73,73,180,180
"330",58,61,61,140,140
"331",63,66,66,155,155
"332",48,51,51,116,116
"333",56,59,59,131,131
"334",76,81,81,194,194
"335",59,62,62,156,156
"336",47,50,50,107,107
"337",49,52,52,112,112
"338",56,59,59,153,153
"339",52,56,56,127,127
"340",34,36,36,75,75
"341",37,39,39,87,87
"342",47,50,50,119,119
"343",63,67,67,152,152
"344",71,75,75,186,186
"345",58,61,61,151,151
"346",39,42,42,83,83
"347",43,46,46,102,102
"348",46,49,49,107,107
"349",48,51,51,112,112
"350",72,76,76,124,124
"351",53,56,56,144,144
"352",38,41,41,87,87
"353",41,43,43,92,92
"354",47,50,50,105,105
"355",46,49,49,111,111
"356",33,34,34,76,76
"357",46,49,49,104,104
"358",41,44,44,90,90
"359",43,46,46,107,107
"360",51,54,54,133,133
"361",50,53,53,122,122
"362",48,51,51,108,108
"363",58,61,61,152,152
"364",46,49,49,113,113
"365",60,64,64,135,135
"366",48,51,51,116,116
"367",39,41,41,100,100
"368",49,52,52,120,120
"369",41,44,44,96,96
"370",66,70,70,163,163
"371",45,48,48,103,103
"372",29,31,31,70,70
"373",37,39,39,89,89
"374",59,62,62,167,167
"375",49,52,52,115,115
"376",56,59,59,136,136
"377",47,50,50,104,104
"378",70,74,74,218,218
"379",82,86,86,228,228
"380",46,49,49,103,103
"381",49,52,52,112,112
"382",39,41,41,87,87
"383",66,70,70,158,158
"384",37,39,39,92,92
"385",35,37,37,89,89
"386",59,62,62,154,154
"387",50,53,53,115,115
"388",49,52,52,125,125
"389",49,52,52,113,113
"390",46,49,49,112,112
"391",54,58,58,129,129
"392",77,81,81,254,254
"393",48,50,50,128,128
"394",49,52,52,122,122
"395",52,55,55,131,131
"396",42,45,45,103,103
"397",55,58,58,150,150
"398",51,54,54,123,123
"399",80,84,84,232,232
"400",69,72,72,236,236
"401",52,55,55,128,128
"402",97,102,102,283,283
"403",68,72,72,151,151
"404",58,62,62,155,155
"405",30,31,31,68,68
"406",68,72,72,174,174
"407",55,58,58,141,141
"408",49,52,52,127,127
"409",51,54,54,114,114
"410",64,67,67,157,157
"411",48,51,51,116,116
"412",56,59,59,131,131
"413",53,56,56,148,148
"414",49,52,52,127,127
"415",85,89,89,283,283
"416",45,47,47,101,101
"417",74,78,78,189,189
"418",36,38,38,80,80
"419",44,46,46,95,95
"420",39,41,41,93,93
"421",54,57,57,128,128
"422",47,50,50,105,105
"423",70,74,74,167,167
"424",45,48,48,104,104
"425",41,44,44,95,95
"426",70,74,74,170,170
"427",32,34,34,73,73
"428",46,48,48,101,101
"429",44,47,47,98,98
"430",46,49,49,114,114
"431",54,57,57,162,162
"432",53,56,56,123,123
"433",99,104,104,296,296
"434",61,65,65,145,145
"435",43,46,46,107,107
"436",73,77,77,180,180
"437",35,37,37,78,78
"438",50,52,52,123,123
"439",39,42,42,86,86
"440",85,89,89,214,214
"441",36,38,38,82,82
"442",61,65,65,141,141
"443",38,40,40,80,80
"444",54,57,57,150,150
"445",43,46,46,101,101
"446",39,41,41,90,90
"447",33,35,35,72,72
"448",67,71,71,171,171
"449",57,61,61,143,143
"450",80,85,85,216,216
"451",50,53,53,117,117
"452",47,50,50,109,109
"453",48,51,51,114,114
"454",51,54,54,124,124
"455",42,45,45,94,94
"456",68,72,72,170,170
"457",36,38,38,83,83
"458",44,47,47,104,104
"459",37,40,40,89,89
"460",32,34,34,72,72
"461",51,54,54,118,118
"462",48,51,51,118,118
"463",51,53,53,132,132
"464",66,70,70,202,202
"465",63,66,66,188,188
"466",62,66,66,161,161
"467",40,42,42,86,86
"468",40,42,42,91,91
"469",48,50,50,112,112
"470",31,33,33,71,71
"471",39,41,41,93,93
"472",54,57,57,136,136
"473",38,40,40,84,84
"474",63,67,67,158,158
"475",53,57,57,127,127
"476",47,50,50,106,106
"477",39,41,41,88,88
"478",39,42,42,91,91
"479",42,45,45,103,103
"480",46,49,49,113,113
"481",50,53,53,111,111
"482",48,51,51,109,109
"483",58,61,61,168,168
"484",35,37,37,83,83
"485",41,44,44,96,96
"486",48,50,50,124,124
"487",54,57,57,125,125
"488",36,38,38,81,81
"489",40,42,42,94,94
"490",49,52,52,112,112
"491",35,38,38,79,79
"492",46,48,48,109,109
"493",39,41,41,90,90
"494",43,46,46,103,103
"495",45,48,48,106,106
"496",47,50,50,109,109
"497",34,36,36,77,77
"498",59,62,62,148,148
"499",58,61,61,159,159
"500",42,44,44,92,92
