"","age1_orange.A","age2_no_comorbid_orange.A","age2_comorbid_orange.A","age3_no_comorbid_green.A","age3_comorbid_green.A"
"1",48,51,51,106,106
"2",59,62,62,136,136
"3",63,67,67,146,146
"4",64,67,67,159,159
"5",41,43,43,85,85
"6",63,66,66,167,167
"7",53,56,56,117,117
"8",54,57,57,125,125
"9",75,79,79,191,191
"10",45,48,48,103,103
"11",51,55,55,111,111
"12",48,50,50,102,102
"13",64,68,68,149,149
"14",62,66,66,154,154
"15",52,55,55,118,118
"16",54,57,57,123,123
"17",68,72,72,158,158
"18",54,57,57,121,121
"19",45,48,48,103,103
"20",46,49,49,101,101
"21",49,52,52,110,110
"22",58,62,62,133,133
"23",55,58,58,127,127
"24",58,61,61,139,139
"25",63,66,66,142,142
"26",85,89,89,283,283
"27",45,48,48,96,96
"28",70,74,74,159,159
"29",66,70,70,152,152
"30",58,61,61,135,135
"31",50,53,53,106,106
"32",85,89,89,212,212
"33",36,39,39,80,80
"34",46,48,48,101,101
"35",60,63,63,142,142
"36",73,77,77,166,166
"37",69,72,72,174,174
"38",53,56,56,124,124
"39",71,75,75,178,178
"40",53,56,56,115,115
"41",62,66,66,138,138
"42",54,57,57,132,132
"43",44,46,46,99,99
"44",54,57,57,124,124
"45",46,49,49,102,102
"46",45,48,48,97,97
"47",50,53,53,121,121
"48",63,67,67,150,150
"49",66,69,69,151,151
"50",76,81,81,189,189
"51",50,53,53,110,110
"52",66,70,70,152,152
"53",53,56,56,117,117
"54",65,68,68,149,149
"55",47,50,50,104,104
"56",65,68,68,146,146
"57",60,64,64,138,138
"58",38,41,41,85,85
"59",57,60,60,128,128
"60",57,60,60,133,133
"61",74,78,78,178,178
"62",53,56,56,117,117
"63",67,71,71,176,176
"64",56,59,59,137,137
"65",83,88,88,215,215
"66",55,58,58,139,139
"67",44,47,47,96,96
"68",43,46,46,93,93
"69",42,44,44,89,89
"70",64,68,68,141,141
"71",53,56,56,116,116
"72",66,69,69,150,150
"73",58,62,62,139,139
"74",42,44,44,89,89
"75",73,78,78,179,179
"76",61,65,65,132,132
"77",45,48,48,96,96
"78",57,60,60,129,129
"79",73,77,77,189,189
"80",49,51,51,109,109
"81",47,50,50,102,102
"82",41,44,44,91,91
"83",58,62,62,161,161
"84",50,53,53,106,106
"85",52,55,55,113,113
"86",59,62,62,133,133
"87",59,62,62,137,137
"88",64,68,68,149,149
"89",72,76,76,192,192
"90",86,91,91,265,265
"91",42,44,44,93,93
"92",56,59,59,125,125
"93",41,44,44,87,87
"94",80,84,84,206,206
"95",63,67,67,135,135
"96",47,50,50,104,104
"97",50,53,53,114,114
"98",62,65,65,144,144
"99",56,59,59,143,143
"100",59,62,62,137,137
"101",43,46,46,94,94
"102",66,70,70,156,156
"103",48,51,51,117,117
"104",84,88,88,301,301
"105",46,49,49,95,95
"106",55,58,58,125,125
"107",66,69,69,176,176
"108",62,66,66,149,149
"109",43,46,46,95,95
"110",108,114,114,280,280
"111",47,50,50,111,111
"112",49,52,52,106,106
"113",32,34,34,72,72
"114",55,58,58,124,124
"115",36,38,38,73,73
"116",66,70,70,147,147
"117",52,55,55,117,117
"118",43,46,46,97,97
"119",61,64,64,152,152
"120",35,37,37,75,75
