"time" "age1_orange.S" "age2_no_comorbid_orange.S" "age2_comorbid_orange.S" "age3_no_comorbid_green.S" "age3_comorbid_green.S" "age1_orange.E" "age2_no_comorbid_orange.E" "age2_comorbid_orange.E" "age3_no_comorbid_green.E" "age3_comorbid_green.E" "age1_orange.P" "age2_no_comorbid_orange.P" "age2_comorbid_orange.P" "age3_no_comorbid_green.P" "age3_comorbid_green.P" "age1_orange.A" "age2_no_comorbid_orange.A" "age2_comorbid_orange.A" "age3_no_comorbid_green.A" "age3_comorbid_green.A" "age1_orange.I" "age2_no_comorbid_orange.I" "age2_comorbid_orange.I" "age3_no_comorbid_green.I" "age3_comorbid_green.I" "age1_orange.H" "age2_no_comorbid_orange.H" "age2_comorbid_orange.H" "age3_no_comorbid_green.H" "age3_comorbid_green.H" "age1_orange.R" "age2_no_comorbid_orange.R" "age2_comorbid_orange.R" "age3_no_comorbid_green.R" "age3_comorbid_green.R" "age1_orange.D" "age2_no_comorbid_orange.D" "age2_comorbid_orange.D" "age3_no_comorbid_green.D" "age3_comorbid_green.D"
0 814 941 125.2 44 74.6 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 813.983764287022 940.988740218901 125.198501886723 43.999999474077 74.5999991083215 0.0154448606316089 0.872711199586042 0.00142513929849104 4.97311732037522e-07 8.4316943659089e-07 9.83912326296541e-05 0.00610578992342031 9.07882371085795e-06 3.20662006455646e-09 5.436678563998e-09 0.000125423292443105 0.023178600777276 1.15731276669546e-05 4.58563834989477e-09 7.77474138413977e-09 0.000543980153311366 0.100609771177421 5.02660398005474e-05 1.99205036413297e-08 3.38796658924803e-08 6.98545670456505e-07 0.00027114375882957 2.00648612433354e-07 8.04254985542886e-11 3.32395745146257e-10 2.22011874185103e-05 0.00820715286482541 1.65708284467145e-06 7.59554428661106e-10 7.38061300938157e-10 1.57934854721958e-07 0.000176123010648701 1.98255735949391e-07 5.8492569438138e-11 3.47504786288725e-10
2 813.939902992542 940.958321113226 125.194454626329 43.9999983019368 74.599997121011 0.054356038405258 0.780741241206844 0.00501563612768148 1.5246511305308e-06 2.58497668949086e-06 0.00036277259095577 0.00545597505950718 3.3474370131688e-05 1.02091631327086e-08 1.73091720386378e-08 0.00093922330412824 0.0415618843325806 8.66651184099377e-05 2.83636598815207e-08 4.80892960718511e-08 0.00407727029475638 0.180719593224357 0.000377315878054703 1.23513586827901e-07 2.10706254481443e-07 1.07615141482539e-05 0.00100892226554537 3.09476283617343e-06 9.95109921311298e-10 4.12278131815038e-09 0.000348265505340688 0.0314840127456045 2.60164244981736e-05 9.5738435154034e-09 9.31312197345992e-09 2.67584303615392e-06 0.000707257939614979 3.17098906950549e-06 7.56675257303429e-10 4.47160308910922e-09
3 813.873581154906 940.912323710676 125.188334674364 43.9999965766489 74.5999941958639 0.108724455206767 0.715908518161415 0.0100325907521733 2.92364661828706e-06 4.9569099482776e-06 0.000736753722095789 0.00499728794139261 6.79841691430751e-05 1.98332090535038e-08 3.36263044407134e-08 0.00285402895153056 0.0554533926275111 0.00026335314887215 8.03450886031149e-08 1.36221445677099e-07 0.0124008399007099 0.241534418506297 0.00114928384741119 3.50691892714977e-07 6.00024197119185e-07 4.97326001686474e-05 0.00205534969761315 1.43187782152927e-05 4.21172575071686e-09 1.74907262791288e-08 0.0016395004674197 0.0661747229106475 0.000122578615609682 4.12780774103181e-08 4.01966455654719e-08 1.35342451061572e-05 0.00155259947843588 1.52163243655531e-05 3.34443648400922e-09 1.96668281738868e-08
4 813.78783295544 940.852850963548 125.180421828519 43.9999943269071 74.5999903815288 0.173617597176629 0.672527796845789 0.0160210048550136 4.61687461450237e-06 7.82770105095174e-06 0.00118519696113801 0.00468931745623154 0.000109366931265574 3.15209370838955e-08 5.34423160558793e-08 0.00605953101488082 0.0660822736171385 0.00055914629079534 1.65362274937816e-07 2.80364220690025e-07 0.026352212872975 0.288303830656302 0.00244582594302834 7.23406453626996e-07 1.24127092967355e-06 0.000141950030301958 0.00329652040934026 4.09172578880324e-05 1.15064781722341e-08 4.78955741434918e-08 0.00476847012889498 0.109570596041822 0.000356815028771264 1.14888849778314e-07 1.11994876673627e-07 4.20863750810647e-05 0.0026787014252458 4.50951744002175e-05 9.53328151243889e-09 5.58021582937113e-08
5 813.684203034118 940.780972567558 125.170858411752 43.9999915425363 74.5999856607546 0.246161869722863 0.64665448269974 0.0227158716891006 6.57355666431191e-06 1.11451665263087e-05 0.00168755968982963 0.00450386042448611 0.000155728153397004 4.50460458008465e-08 7.63735231077894e-08 0.0106187866517897 0.074388869181217 0.000979871714832002 2.8620240357094e-07 4.85243166054364e-07 0.046219912907196 0.325051214235119 0.00429593208318928 1.25475928159773e-06 2.15894412639444e-06 0.000312389424366966 0.00465259897552355 9.01502394602239e-05 2.47502780604877e-08 1.03255635381072e-07 0.0106959760552453 0.159717368709697 0.000801011548947761 2.51773177576047e-07 2.45678826444432e-07 0.000100471431093512 0.00405903821646553 0.00010302281949479 2.13758667706982e-08 1.2458349947936e-07
6 813.563173408734 940.697020985317 125.159688658195 43.9999881855651 74.5999799691626 0.324863752214601 0.635570756682531 0.0299795425542706 8.79289459823724e-06 1.49079531142859e-05 0.00223308073176753 0.00442224662351981 0.000206075999923029 6.03949330104338e-08 1.02396863694974e-07 0.0165297265424407 0.0811015162287392 0.00152535002405381 4.44872493658505e-07 7.54261091520967e-07 0.0720086462277005 0.354899742436701 0.0067021903446828 1.95443196352308e-06 3.37168815487601e-06 0.000584556006962649 0.00606934688805083 0.000168883720695446 4.5815564940756e-08 1.91557993565504e-07 0.0204037063962575 0.215242308650615 0.00152923399651919 4.7481808818031e-07 4.63778403129855e-07 0.000203123145893115 0.00567309717350075 0.000200065164740468 4.12072589233801e-08 2.39201732913357e-07
7 813.424445210911 940.600786732371 125.146884695954 43.9999841969479 74.5999732066434 0.409158991349236 0.637435500076279 0.0377601404585037 1.12937332983706e-05 1.91480114558758e-05 0.00281758313423918 0.00443122007124579 0.000260026349846528 7.76933932775689e-08 1.31725616784256e-07 0.0237637561336521 0.0867925047777984 0.00219295722694493 6.43344435658798e-07 1.09076124773062e-06 0.103606133343188 0.380309856018843 0.00965611178173572 2.83190523640943e-06 4.89772833186433e-06 0.000979636900472637 0.00751182908009984 0.000283340029071958 7.65524581584858e-08 3.2075231281845e-07 0.0348623048030667 0.275226609721193 0.00261492224995292 8.08197406530807e-07 7.90153665264494e-07 0.00036638342471857 0.00750574788435593 0.000347805949917404 7.1625862567335e-08 4.14223869359317e-07
8 813.267119059021 940.49164333271 125.132363172428 43.999979500342 74.5999652437615 0.499117650568237 0.651048535200627 0.0460643575063157 1.41083493140567e-05 2.39200649733794e-05 0.0034413812463963 0.00452221187579194 0.000317609774058895 9.71622056655192e-08 1.64734103242003e-07 0.0322896069378748 0.0919180214435603 0.00297982600164859 8.83989866631138e-07 1.49876463751558e-06 0.140886523016065 0.403248712035304 0.0131476795424114 3.89835724934926e-06 6.75811406473598e-06 0.00151638011947652 0.00895978657617957 0.000439056867478074 1.18802813280696e-07 4.98801911061726e-07 0.0550211716806853 0.339112567461397 0.00413010330182916 1.27749492454399e-06 1.25011242603775e-06 0.000608227410523271 0.00954683269801042 0.000558194577802673 1.15501642656267e-07 6.65646247831461e-07
9 813.089812324047 940.368628483797 125.115996053317 43.999974004101 74.5999559251349 0.595248237251627 0.675686396582818 0.0549393959134511 1.72787823141762e-05 2.92953900144912e-05 0.00410789003582079 0.00469005565309284 0.000379143314482347 1.1909094029914e-07 2.01913276052643e-07 0.0420875902465443 0.096848576817529 0.00388416164120241 1.16982445898219e-06 1.98338419636535e-06 0.183772502499033 0.425319296602718 0.0171711313472843 5.16774712003735e-06 8.978605639648e-06 0.00221141639567579 0.0104040789973405 0.000640974324389743 1.74434260919385e-07 7.33818793147009e-07 0.0818119652050822 0.406632258088333 0.00614562770578875 1.91002019788046e-06 1.87071551580657e-06 0.000948074318780535 0.0117908534619145 0.000843512436413081 1.75999653177874e-07 1.01103759476987e-06
