"","age1_orange.I","age2_no_comorbid_orange.I","age2_comorbid_orange.I","age3_no_comorbid_green.I","age3_comorbid_green.I"
"1",48,51,51,107,108
"2",59,62,62,136,136
"3",63,67,67,146,145
"4",64,67,67,158,158
"5",41,43,44,85,85
"6",63,66,66,166,166
"7",53,56,57,118,119
"8",54,57,57,124,124
"9",75,79,80,192,193
"10",45,48,48,102,101
"11",51,55,54,111,110
"12",48,51,51,102,103
"13",64,68,68,149,149
"14",62,66,66,154,155
"15",52,55,55,119,119
"16",54,57,58,124,124
"17",68,71,71,157,156
"18",54,57,57,121,121
"19",45,48,48,103,102
"20",46,49,49,101,101
"21",49,52,52,109,109
"22",58,62,62,133,134
"23",55,58,58,128,128
"24",58,61,61,139,139
"25",63,66,66,142,142
"26",85,89,89,283,282
"27",45,48,48,97,98
"28",70,74,74,160,160
"29",66,70,69,151,151
"30",58,61,61,136,136
"31",50,53,53,106,106
"32",85,89,89,212,213
"33",36,39,39,80,80
"34",46,48,48,101,100
"35",59,63,63,142,142
"36",73,77,78,166,168
"37",69,72,72,174,174
"38",53,56,56,123,122
"39",71,75,75,179,180
"40",53,56,56,114,113
"41",62,66,66,138,138
"42",54,57,57,132,132
"43",44,46,46,99,98
"44",54,57,57,124,125
"45",46,49,49,102,102
"46",45,48,48,97,97
"47",50,53,52,121,120
"48",62,65,64,147,146
"49",66,69,69,151,150
"50",76,81,81,190,190
"51",50,53,53,110,110
"52",66,70,70,152,152
"53",53,56,56,117,116
"54",65,68,68,149,149
"55",47,50,51,105,106
"56",65,68,69,147,147
"57",60,64,64,138,137
"58",38,41,41,86,87
"59",57,61,61,128,129
"60",57,60,60,133,133
"61",74,78,78,178,179
"62",53,56,56,117,118
"63",67,71,70,175,174
"64",55,59,58,136,135
"65",83,88,88,215,216
"66",55,58,58,138,137
"67",44,47,47,96,96
"68",43,45,45,92,92
"69",42,44,44,89,89
"70",64,68,68,141,142
"71",53,56,56,116,117
"72",65,69,69,150,150
"73",58,62,61,138,137
"74",42,44,45,89,90
"75",73,78,78,179,179
"76",61,65,65,132,134
"77",45,48,48,96,97
"78",57,60,60,129,129
"79",73,77,78,190,192
"80",49,51,51,109,108
"81",47,50,50,102,101
"82",41,44,44,92,92
"83",58,61,60,160,158
"84",50,53,53,106,107
"85",52,55,55,113,113
"86",59,62,62,133,133
"87",59,62,62,137,136
"88",64,68,68,149,150
"89",72,76,77,192,193
"90",86,91,91,266,266
"91",42,44,44,92,90
"92",56,59,59,124,124
"93",41,44,44,86,86
"94",80,84,83,204,203
"95",62,66,66,134,133
"96",47,50,50,104,103
"97",50,53,53,114,114
"98",62,65,65,144,144
"99",56,59,59,142,141
"100",59,62,62,137,138
"101",43,46,46,94,94
"102",66,70,69,155,154
"103",48,51,51,117,118
"104",84,88,87,299,298
"105",46,49,49,95,94
"106",55,58,59,126,128
"107",66,69,69,175,175
"108",62,66,66,149,148
"109",43,46,46,95,94
"110",107,113,112,278,276
"111",47,50,50,112,112
"112",49,52,52,106,106
"113",32,34,34,71,71
"114",55,58,58,124,124
"115",36,38,38,73,73
"116",66,70,70,147,148
"117",52,55,55,117,117
"118",43,46,46,97,97
"119",60,64,63,150,149
"120",35,37,37,75,75
"121",74,79,78,187,186
"122",48,51,51,113,114
"123",53,56,56,115,115
"124",50,53,54,113,114
"125",69,72,72,176,175
"126",81,86,86,196,196
"127",41,43,44,87,88
"128",63,67,67,149,151
"129",49,52,52,107,107
"130",57,60,60,140,139
"131",55,58,58,132,131
"132",69,73,73,164,164
"133",41,43,44,91,91
"134",87,92,92,201,202
"135",44,47,47,100,100
"136",82,86,86,264,263
"137",62,66,66,161,161
"138",51,53,53,131,130
"139",57,60,60,135,135
"140",74,78,77,186,186
"141",44,47,46,93,92
"142",67,71,71,171,171
"143",59,62,62,160,160
"144",42,45,45,95,95
"145",51,54,54,122,121
"146",45,48,48,95,95
"147",61,65,65,132,132
"148",66,69,70,154,154
"149",57,61,61,121,122
"150",71,75,75,175,174
"151",59,62,62,137,136
"152",72,76,77,173,174
"153",44,46,47,99,99
"154",54,58,58,117,118
"155",34,36,36,74,73
"156",72,76,76,174,174
"157",54,58,58,118,118
"158",55,58,58,126,128
"159",42,45,44,91,91
"160",75,79,79,185,185
"161",54,57,57,113,113
"162",76,80,81,181,182
"163",54,57,57,126,126
"164",78,82,82,199,199
"165",59,62,62,139,139
"166",57,60,60,137,137
"167",51,53,53,117,116
"168",60,64,64,145,147
"169",49,52,52,107,107
"170",51,54,55,113,114
"171",64,67,68,152,153
"172",54,57,57,121,121
"173",46,48,49,99,101
"174",48,51,50,104,104
"175",43,46,46,91,93
"176",53,56,56,110,111
"177",55,59,59,127,127
"178",65,69,69,152,152
"179",53,56,56,115,114
"180",63,66,66,150,149
"181",119,124,124,366,366
"182",52,55,55,115,116
"183",51,54,54,111,112
"184",52,55,54,112,111
"185",44,46,47,89,90
"186",46,49,49,104,104
"187",87,92,92,245,246
"188",66,70,69,170,169
"189",45,47,47,102,101
"190",71,75,74,180,179
"191",49,52,53,122,123
"192",42,44,44,90,91
"193",55,58,58,119,118
"194",42,45,45,95,96
"195",78,82,82,210,209
"196",64,68,68,153,155
"197",58,61,61,128,127
"198",54,57,57,123,123
"199",52,55,55,107,106
"200",53,56,57,122,122
"201",44,47,46,99,98
"202",72,76,76,189,189
"203",59,63,62,144,144
"204",71,75,74,191,190
"205",57,60,60,127,127
"206",45,48,48,97,97
"207",69,73,73,166,165
"208",55,59,59,115,115
"209",38,41,40,82,82
"210",50,53,52,123,121
"211",43,46,46,92,92
"212",56,59,60,125,126
"213",56,60,60,125,126
"214",34,37,36,79,79
"215",72,76,76,177,177
"216",55,59,58,129,128
"217",64,68,68,143,142
"218",54,57,56,143,142
"219",61,65,65,137,137
