"","age1_orange.E","age2_no_comorbid_orange.E","age2_comorbid_orange.E","age3_no_comorbid_green.E","age3_comorbid_green.E"
"214",28,30,30,71,71
"215",64,68,68,168,168
"216",49,52,52,122,122
"217",57,61,61,136,136
"218",46,49,49,135,135
"219",54,57,57,129,129
"220",51,54,54,131,131
"221",46,49,49,106,106
"222",41,44,44,107,107
"223",47,50,50,114,114
"224",45,48,48,106,106
"225",56,59,59,138,138
"226",39,42,42,96,96
"227",38,40,40,89,89
"228",29,31,31,65,65
"229",67,71,71,189,189
"230",42,44,44,96,96
"231",50,52,52,123,123
"232",35,38,38,87,87
"233",47,50,50,107,107
"234",54,57,57,141,141
"235",59,63,63,157,157
"236",45,48,48,110,110
"237",74,78,78,206,206
"238",41,44,44,94,94
"239",50,53,53,123,123
"240",47,50,50,122,122
"241",48,51,51,119,119
"242",52,55,55,129,129
"243",50,53,53,114,114
"244",42,45,45,96,96
"245",35,37,37,86,86
"246",57,60,60,153,153
"247",41,44,44,99,99
"248",68,72,72,161,161
"249",43,46,46,107,107
"250",47,50,50,108,108
"251",56,59,59,146,146
"252",44,46,46,112,112
"253",40,43,43,104,104
"254",56,60,60,132,132
"255",40,42,42,94,94
"256",48,51,51,113,113
"257",36,38,38,90,90
"258",43,45,45,106,106
"259",53,56,56,148,148
"260",47,50,50,112,112
"261",43,46,46,105,105
"262",58,61,61,139,139
"263",46,48,48,110,110
"264",69,73,73,164,164
"265",35,37,37,88,88
"266",59,63,63,174,174
"267",45,48,48,108,108
"268",51,54,54,136,136
"269",30,32,32,70,70
"270",67,71,71,169,169
"271",60,63,63,155,155
"272",64,67,67,171,171
"273",41,44,44,100,100
"274",36,38,38,85,85
"275",33,36,36,80,80
"276",34,36,36,82,82
"277",76,80,80,214,214
"278",66,70,70,173,173
"279",49,52,52,115,115
"280",44,47,47,105,105
"281",49,52,52,136,136
"282",64,68,68,244,244
"283",50,53,53,116,116
"284",43,46,46,101,101
"285",39,41,41,93,93
"286",52,55,55,136,136
"287",44,47,47,119,119
"288",41,44,44,96,96
"289",57,60,60,139,139
"290",53,56,56,136,136
"291",50,53,53,122,122
"292",43,46,46,95,95
"293",43,46,46,97,97
"294",55,58,58,161,161
"295",42,45,45,101,101
"296",74,78,78,189,189
"297",45,48,48,115,115
"298",71,75,75,205,205
"299",41,43,43,102,102
"300",44,46,46,100,100
"301",40,42,42,92,92
"302",39,41,41,96,96
"303",41,43,43,97,97
"304",50,53,53,120,120
"305",59,62,62,152,152
"306",41,43,43,104,104
"307",99,104,104,321,321
"308",56,59,59,156,156
"309",43,45,45,111,111
"310",38,40,40,102,102
"311",58,61,61,146,146
"312",49,52,52,141,141
"313",52,55,55,130,130
"314",51,54,54,129,129
"315",62,65,65,144,144
"316",57,60,60,145,145
"317",49,52,52,115,115
"318",43,45,45,103,103
"319",47,49,49,119,119
"320",44,47,47,113,113
"321",35,37,37,87,87
"322",42,44,44,101,101
"323",55,58,58,132,132
"324",43,46,46,103,103
"325",58,61,61,150,150
"326",30,32,32,75,75
"327",41,43,43,99,99
"328",81,85,85,252,252
"329",67,70,70,178,178
"330",57,61,61,139,139
"331",61,64,64,153,153
"332",46,49,49,115,115
"333",54,57,57,130,130
"334",75,79,79,193,193
"335",57,60,60,155,155
"336",45,48,48,105,105
"337",47,50,50,111,111
"338",55,59,59,153,153
"339",51,54,54,125,125
"340",32,33,33,71,71
"341",35,37,37,84,84
"342",45,48,48,117,117
"343",62,65,65,150,150
"344",70,74,74,185,185
"345",56,59,59,149,149
"346",37,39,39,81,81
"347",41,44,44,100,100
"348",45,47,47,105,105
"349",47,50,50,110,110
"350",71,75,75,123,123
"351",51,54,54,142,142
"352",36,39,39,85,85
"353",39,41,41,90,90
"354",45,48,48,103,103
"355",44,47,47,108,108
"356",30,32,32,73,73
"357",44,47,47,102,102
"358",39,42,42,88,88
"359",41,43,43,104,104
"360",50,53,53,133,133
"361",49,52,52,120,120
"362",46,49,49,106,106
"363",57,60,60,150,150
"364",45,47,47,112,112
"365",58,61,61,132,132
"366",46,49,49,113,113
"367",36,39,39,98,98
"368",48,50,50,118,118
"369",39,42,42,94,94
"370",64,68,68,161,161
"371",44,46,46,102,102
"372",27,28,28,67,67
"373",34,36,36,86,86
"374",56,60,60,165,165
"375",47,50,50,112,112
"376",55,58,58,135,135
"377",44,47,47,101,101
"378",67,71,71,215,215
"379",80,84,84,226,226
"380",44,47,47,101,101
"381",47,50,50,110,110
"382",37,39,39,84,84
"383",64,68,68,156,156
"384",35,37,37,90,90
"385",33,35,35,86,86
"386",57,60,60,152,152
"387",48,51,51,113,113
"388",47,49,49,123,123
"389",48,51,51,111,111
"390",44,47,47,109,109
"391",53,56,56,128,128
"392",77,81,81,254,254
"393",46,49,49,126,126
"394",48,51,51,121,121
"395",50,53,53,129,129
"396",40,42,42,101,101
"397",54,57,57,148,148
"398",49,52,52,121,121
"399",79,84,84,231,231
"400",67,71,71,235,235
"401",52,55,55,128,128
"402",96,101,101,283,283
"403",65,70,70,149,149
"404",58,62,62,155,155
"405",27,29,29,66,66
"406",67,71,71,173,173
"407",53,56,56,138,138
"408",48,50,50,125,125
"409",49,52,52,112,112
"410",62,66,66,156,156
"411",46,49,49,114,114
"412",53,57,57,128,128
"413",51,53,53,145,145
"414",47,50,50,125,125
"415",83,87,87,281,281
"416",43,45,45,98,98
"417",74,78,78,189,189
"418",33,36,36,77,77
"419",41,44,44,92,92
"420",38,40,40,91,91
"421",52,55,55,126,126
"422",44,47,47,102,102
"423",67,71,71,164,164
"424",44,46,46,102,102
"425",39,41,41,93,93
"426",68,72,72,169,169
"427",30,31,31,70,70
"428",43,46,46,98,98
"429",43,45,45,96,96
"430",44,46,46,112,112
"431",52,55,55,160,160
"432",51,55,55,121,121
"433",98,103,103,295,295
"434",60,64,64,144,144
"435",41,43,43,104,104
"436",71,75,75,179,179
"437",33,35,35,77,77
"438",48,51,51,121,121
"439",37,39,39,83,83
"440",83,87,87,212,212
"441",34,36,36,80,80
"442",59,62,62,139,139
"443",35,37,37,78,78
"444",53,56,56,149,149
"445",42,44,44,99,99
"446",37,39,39,88,88
"447",30,32,32,70,70
"448",66,70,70,170,170
"449",55,59,59,140,140
"450",80,85,85,216,216
"451",48,51,51,115,115
"452",45,48,48,107,107
"453",47,49,49,112,112
"454",49,52,52,122,122
"455",39,42,42,91,91
"456",66,70,70,169,169
"457",34,36,36,80,80
"458",43,45,45,102,102
"459",35,37,37,86,86
"460",30,32,32,70,70
"461",49,52,52,115,115
"462",47,50,50,117,117
"463",48,51,51,129,129
"464",64,68,68,200,200
"465",62,65,65,188,188
"466",59,63,63,158,158
"467",37,40,40,83,83
"468",38,41,41,89,89
"469",45,48,48,109,109
"470",28,30,30,68,68
"471",37,39,39,91,91
"472",51,54,54,133,133
"473",36,38,38,81,81
"474",61,64,64,156,156
"475",51,54,54,124,124
"476",45,48,48,103,103
"477",37,39,39,86,86
"478",37,39,39,89,89
"479",40,43,43,100,100
"480",44,46,46,110,110
"481",48,51,51,109,109
"482",46,49,49,106,106
"483",56,60,60,166,166
"484",32,34,34,80,80
"485",40,42,42,94,94
"486",47,50,50,123,123
"487",52,55,55,123,123
"488",34,36,36,78,78
"489",38,40,40,92,92
"490",47,50,50,110,110
"491",33,35,35,77,77
"492",43,46,46,106,106
"493",38,40,40,88,88
"494",42,44,44,102,102
"495",43,46,46,104,104
"496",45,48,48,107,107
"497",32,34,34,75,75
"498",57,60,60,146,146
"499",56,59,59,157,157
"500",39,42,42,89,89
