"","age1_orange.I","age1_green.I","age2_no_comorbid_orange.I","age2_no_comorbid_green.I","age2_comorbid_green.I","age3_no_comorbid_green.I","age3_comorbid_green.I"
"184",54,7,61,9,14,4,8
"185",0,0,0,0,0,0,0
"186",54,0,43,1,0,0,0
"187",61,4,58,5,12,4,10
"188",51,3,62,7,14,7,10
"189",0,0,0,0,0,0,0
"190",52,7,44,5,12,6,9
"191",57,4,62,8,8,4,8
"192",0,0,1,0,0,0,0
"193",68,5,49,4,10,3,8
"194",60,0,46,0,0,0,0
"195",0,0,1,0,0,0,0
"196",55,0,59,1,1,0,1
"197",54,4,44,8,13,4,12
"198",58,4,58,6,15,5,6
"199",62,4,45,7,9,2,5
"200",71,0,54,1,0,0,0
"201",0,0,0,0,0,0,0
"202",66,2,48,5,11,4,4
"203",62,0,58,0,0,0,0
"204",50,6,52,5,15,4,10
"205",57,7,64,10,14,5,9
"206",56,0,48,0,0,1,0
"207",50,0,47,0,1,0,0
"208",0,0,0,0,0,0,0
"209",0,0,0,0,0,0,0
"210",60,6,55,8,17,5,12
"211",49,0,57,1,1,0,0
"212",52,5,48,6,9,10,6
"213",46,6,54,5,9,3,7
"214",49,0,54,0,0,0,0
"215",49,6,57,9,14,5,5
"216",0,0,0,0,0,0,0
"217",60,7,61,3,9,3,4
"218",58,10,46,8,18,6,7
"219",59,0,55,0,0,0,0
"220",62,4,51,6,9,5,9
"221",50,6,67,9,12,3,10
"222",0,0,0,0,0,0,0
"223",59,5,59,6,14,4,9
"224",60,5,53,6,17,5,10
"225",43,0,64,0,0,0,0
"226",53,6,58,7,13,4,5
"227",60,6,56,6,12,6,7
"228",0,0,0,0,0,0,0
"229",52,4,46,8,14,4,13
"230",53,4,68,5,10,3,4
"231",0,0,0,0,0,0,0
"232",59,4,50,8,8,5,5
"233",50,4,57,6,11,4,6
"234",0,0,0,0,0,0,0
"235",61,6,52,6,12,5,7
"236",54,6,56,6,14,3,7
"237",60,2,56,7,12,6,5
"238",54,6,50,6,9,5,10
"239",59,3,59,5,9,4,5
"240",54,0,56,0,1,0,0
"241",52,0,61,0,0,0,0
"242",57,6,55,5,17,5,7
"243",0,0,0,0,0,0,0
"244",50,0,48,0,0,0,0
"245",56,8,63,10,18,4,8
"246",0,0,0,0,0,0,0
"247",54,3,52,6,9,3,10
"248",56,3,47,4,17,4,9
"249",52,4,55,7,12,3,9
"250",47,7,57,5,15,6,7
"251",61,4,69,6,8,6,8
"252",0,0,0,0,0,0,0
"253",53,5,50,4,15,5,11
"254",0,0,0,0,0,0,0
"255",51,6,51,6,15,4,9
"256",61,0,64,0,0,0,0
"257",57,9,59,9,12,5,6
"258",53,5,50,10,8,5,6
"259",72,4,47,7,10,4,6
"260",53,6,49,5,15,4,8
"261",51,7,51,8,14,3,9
"262",53,0,63,0,0,0,0
"263",56,5,57,4,8,4,5
"264",1,0,0,0,0,0,0
"265",49,6,53,5,13,5,8
"266",47,1,56,1,1,0,1
"267",56,4,45,5,13,3,6
"268",0,0,0,0,0,0,0
"269",0,0,0,0,0,0,0
"270",48,0,55,0,0,0,0
"271",0,0,0,0,0,0,0
"272",44,5,52,10,9,3,9
"273",48,5,47,7,18,8,12
"274",58,6,54,11,10,3,9
"275",61,5,53,7,13,3,6
"276",53,0,56,0,0,0,0
"277",65,4,54,4,9,3,8
"278",45,3,47,4,11,5,6
"279",47,0,72,0,0,0,0
"280",55,6,59,6,14,5,8
"281",54,0,50,0,0,0,0
"282",0,0,0,0,0,0,0
"283",50,4,56,8,11,3,9
"284",0,0,0,0,0,0,0
"285",0,0,1,0,0,0,0
"286",42,6,48,6,19,6,12
"287",0,0,0,0,0,0,0
"288",58,5,61,9,11,2,6
"289",47,4,46,6,12,4,8
"290",52,4,54,6,12,3,7
"291",46,0,53,0,0,0,0
"292",53,5,50,7,11,8,10
"293",62,7,55,8,12,5,11
"294",0,0,0,0,0,0,0
"295",56,0,50,0,0,0,0
"296",51,7,56,9,13,8,10
"297",41,7,57,6,13,4,10
"298",53,5,50,5,8,2,6
"299",49,4,56,3,11,2,7
"300",56,5,60,8,12,2,6
"301",56,0,67,1,1,0,0
"302",47,5,42,4,15,6,10
"303",42,5,60,11,14,5,8
"304",0,0,1,0,0,0,0
"305",46,4,47,7,10,3,8
"306",58,5,56,6,13,4,8
"307",66,0,68,0,0,0,0
"308",59,5,45,7,13,3,7
"309",53,4,45,5,9,3,5
"310",51,9,45,6,17,5,13
"311",66,7,54,8,16,4,10
"312",47,1,54,1,1,0,1
"313",45,5,61,5,14,7,8
"314",55,8,64,8,17,4,8
"315",55,8,59,9,22,4,11
"316",51,4,56,4,11,3,9
"317",50,0,58,0,0,1,0
"318",41,9,54,11,9,5,11
"319",66,0,52,0,0,0,0
"320",0,0,1,0,0,0,0
"321",50,5,55,5,13,7,8
"322",0,0,0,0,0,0,0
"323",61,5,55,9,12,5,8
"324",55,0,46,0,0,0,0
"325",55,5,56,5,12,5,7
"326",53,5,64,7,14,5,8
"327",46,0,46,0,0,1,0
"328",54,7,59,4,10,5,10
"329",63,6,59,5,13,3,10
"330",48,4,60,5,10,3,9
"331",55,6,54,6,15,5,8
"332",57,0,63,0,0,0,0
"333",0,0,0,0,0,0,0
"334",0,0,0,0,0,0,0
"335",54,3,55,6,14,4,6
"336",61,3,54,5,10,4,8
"337",0,0,1,0,0,0,0
"338",57,6,52,5,13,4,7
"339",42,6,61,4,13,5,10
"340",63,5,53,4,8,3,8
"341",52,0,46,0,0,0,0
"342",50,9,51,7,11,8,6
"343",0,0,0,0,0,0,0
"344",0,0,0,0,0,0,0
"345",59,5,53,7,16,8,12
"346",0,0,0,0,0,0,0
"347",54,6,53,6,13,4,9
"348",60,3,64,7,15,3,7
"349",62,3,49,6,12,5,7
"350",65,7,71,6,15,5,9
"351",57,4,59,8,10,5,6
"352",0,0,1,0,0,0,0
"353",53,7,53,10,14,10,10
"354",58,7,54,5,9,3,7
"355",48,4,52,6,10,5,6
"356",51,5,63,6,11,2,6
"357",46,4,57,5,15,5,7
"358",60,0,56,0,0,0,1
"359",57,3,46,3,11,3,6
"360",58,4,50,3,11,5,8
"361",65,6,53,5,14,5,7
"362",55,5,59,6,15,4,9
"363",58,4,55,7,9,3,8
"364",54,5,51,6,8,3,5
"365",61,8,62,7,11,5,7
"366",58,4,55,6,15,5,10
"367",60,6,67,4,9,3,7
"368",45,0,50,0,0,0,0
"369",0,0,0,0,0,0,0
"370",43,0,50,0,0,0,0
"371",0,0,0,0,0,0,0
"372",54,0,62,0,0,0,0
"373",0,0,0,0,0,0,0
"374",64,0,57,0,0,0,0
"375",57,9,55,5,12,5,8
"376",55,0,47,0,1,0,0
"377",55,2,53,9,14,4,8
"378",57,4,55,7,14,3,10
"379",49,5,55,9,15,4,7
"380",52,4,47,5,15,5,7
"381",55,6,50,7,15,4,8
"382",0,0,0,0,0,0,0
"383",0,0,0,0,0,0,0
"384",59,1,49,0,1,0,0
"385",0,0,0,0,0,0,0
"386",50,6,61,5,15,4,6
"387",49,4,58,5,13,7,9
"388",55,0,57,0,0,0,0
"389",53,5,52,6,13,6,11
"390",0,0,0,0,0,0,0
"391",0,0,1,0,0,0,0
"392",55,0,57,0,1,1,0
"393",50,6,40,8,11,4,13
"394",46,0,57,0,0,0,1
"395",61,0,59,0,0,0,0
"396",63,0,57,0,0,0,0
"397",51,5,50,3,8,2,7
"398",56,0,48,0,0,0,0
"399",0,0,0,0,0,0,0
"400",56,0,58,0,1,0,0
"401",55,5,58,5,14,4,11
"402",52,5,49,7,15,4,7
"403",62,0,56,0,0,0,0
"404",54,0,70,0,0,0,0
"405",67,5,76,9,12,8,10
"406",68,7,56,4,12,4,7
"407",49,7,55,6,7,2,7
"408",0,0,0,0,0,0,0
"409",46,6,59,7,13,7,8
"410",51,0,52,0,1,0,0
"411",51,6,64,8,9,4,6
"412",0,0,1,0,0,0,0
"413",52,0,58,0,0,1,0
"414",0,0,0,0,0,0,0
"415",55,4,67,6,8,6,9
"416",48,5,62,7,14,7,7
"417",55,7,51,5,16,4,7
"418",0,0,0,0,0,0,0
"419",51,4,51,10,11,7,9
"420",59,6,54,4,9,3,11
"421",63,0,64,0,0,0,0
"422",63,3,43,6,10,3,6
"423",0,0,1,0,0,0,0
"424",61,6,41,6,18,5,10
"425",55,0,63,0,0,0,0
"426",44,4,49,5,12,6,8
"427",46,4,49,4,8,3,5
"428",59,0,48,0,0,0,0
"429",51,4,64,6,10,7,7
"430",58,5,48,6,14,5,5
"431",57,6,63,3,11,3,7
"432",54,7,63,6,12,6,7
"433",59,3,55,8,17,6,7
"434",55,5,61,7,16,3,12
"435",48,5,45,5,9,3,5
"436",0,0,0,0,0,0,0
"437",1,0,0,0,0,0,0
"438",55,0,52,1,0,0,0
"439",53,0,51,0,0,0,0
"440",51,5,54,7,13,5,6
"441",51,0,53,0,1,0,0
"442",51,10,43,5,15,5,7
"443",54,0,59,0,0,0,0
"444",59,0,74,0,0,1,0
"445",53,5,50,3,12,7,8
"446",64,12,59,7,19,4,10
"447",63,0,50,0,0,0,0
"448",41,0,56,0,0,0,0
"449",59,4,54,7,13,3,10
"450",41,3,55,4,8,3,6
"451",57,0,53,0,0,0,0
"452",0,0,1,0,0,0,0
"453",43,6,49,7,17,8,14
"454",53,5,44,8,15,5,8
"455",50,7,58,6,12,5,5
"456",59,0,53,0,0,0,0
"457",50,0,54,0,0,0,0
"458",51,0,49,0,0,0,0
"459",54,0,57,0,0,0,0
"460",57,0,57,0,0,0,0
"461",54,6,55,7,12,6,6
"462",46,8,60,5,11,8,13
"463",57,6,43,6,16,5,10
"464",56,8,55,6,11,2,8
"465",63,7,56,8,16,5,11
"466",0,0,0,0,0,0,0
"467",43,5,53,8,15,4,11
"468",51,5,49,5,16,6,7
"469",60,7,60,8,9,4,11
"470",67,0,52,0,1,0,0
"471",50,7,50,7,14,5,9
"472",60,7,58,6,12,4,7
"473",47,0,41,0,0,0,0
"474",52,3,61,7,15,4,8
"475",58,5,52,7,14,4,8
"476",57,4,57,5,17,3,9
"477",49,4,52,8,12,3,6
"478",52,5,60,7,12,4,8
"479",53,7,50,6,9,6,8
"480",64,4,54,7,14,3,7
"481",54,0,61,0,0,0,0
"482",50,5,46,9,15,4,6
"483",50,5,54,3,13,4,7
"484",0,0,1,0,0,0,0
"485",51,3,58,6,10,4,7
"486",67,5,56,4,13,6,11
"487",51,5,49,6,19,6,9
"488",57,3,53,7,6,4,7
"489",1,0,1,0,0,0,0
"490",63,4,53,5,15,7,7
"491",54,7,59,9,11,3,7
"492",0,0,0,0,0,0,0
"493",55,4,66,5,9,5,5
"494",53,3,46,5,10,4,10
"495",50,0,51,0,0,0,0
"496",0,0,0,0,0,0,0
"497",50,6,47,6,14,4,9
"498",0,0,0,0,0,0,0
"499",0,0,0,0,0,0,0
"500",62,5,55,5,9,4,5
"501",1,0,0,0,0,0,0
"502",50,6,50,6,17,6,6
"503",46,5,48,9,10,6,10
"504",63,0,46,1,0,0,0
"505",69,0,58,0,0,0,0
"506",60,6,51,6,8,3,5
"507",0,0,0,0,0,0,0
"508",49,9,52,4,15,4,11
"509",59,5,66,3,13,5,7
"510",47,0,53,0,0,0,0
"511",0,0,0,0,0,0,0
"512",49,5,52,5,9,4,7
"513",63,6,65,2,14,6,8
"514",0,0,0,0,0,0,0
"515",65,6,61,6,12,4,13
"516",47,7,46,3,14,4,12
"517",1,0,0,0,0,0,0
"518",0,0,1,0,0,0,0
"519",52,0,59,1,0,0,0
"520",42,4,50,4,8,4,6
