"","age1_orange.R","age1_green.R","age2_no_comorbid_orange.R","age2_no_comorbid_green.R","age2_comorbid_green.R","age3_no_comorbid_green.R","age3_comorbid_green.R"
"921",172,0,171,0,0,0,0
"922",174,13,165,15,17,6,3
"923",177,0,179,0,0,0,0
"924",177,0,192,0,0,0,0
"925",176,0,185,0,0,0,0
"926",176,15,177,18,15,5,4
"927",172,0,170,0,0,0,0
"928",174,0,187,0,0,0,0
"929",0,0,1,0,0,0,0
"930",171,0,169,0,0,0,0
"931",178,14,179,21,23,7,4
"932",171,0,183,0,0,0,0
"933",172,0,170,0,0,0,0
"934",176,6,172,12,6,0,1
"935",0,0,1,0,0,0,0
"936",174,0,177,0,0,0,0
"937",176,0,179,0,0,0,0
"938",180,1,175,0,2,0,1
"939",0,0,1,0,0,0,0
"940",170,0,185,0,0,0,0
"941",176,14,179,14,10,4,4
"942",170,0,178,0,0,0,0
"943",0,0,1,0,0,0,0
"944",178,0,184,0,0,0,0
"945",175,0,178,0,0,0,0
"946",172,15,180,19,14,7,5
"947",172,15,179,17,16,5,5
"948",175,1,175,0,0,0,0
"949",180,0,178,0,0,0,0
"950",173,1,169,0,1,0,0
"951",176,0,180,0,0,0,0
"952",0,0,1,0,0,0,0
"953",178,0,170,0,0,0,0
"954",163,0,171,0,0,0,0
"955",167,0,178,0,0,0,0
"956",174,0,170,0,0,0,0
"957",177,0,178,0,0,0,0
"958",172,14,169,17,18,3,3
"959",176,0,182,0,0,1,1
"960",179,14,186,17,21,6,6
"961",171,0,186,0,0,0,0
"962",178,15,187,17,20,4,7
"963",180,15,173,13,15,4,1
"964",171,0,188,0,0,0,0
"965",169,0,166,0,0,0,0
"966",166,0,175,0,0,0,0
"967",0,0,1,0,0,0,0
"968",177,2,185,1,2,1,1
"969",0,0,1,0,0,0,0
"970",0,0,1,0,0,0,0
"971",171,0,182,0,0,0,0
"972",173,0,180,0,0,0,0
"973",173,0,180,0,0,0,0
"974",178,0,187,0,0,0,0
"975",175,0,176,0,0,0,0
"976",172,0,179,0,0,0,0
"977",177,0,170,0,0,0,0
"978",170,15,179,20,19,4,7
"979",174,0,168,0,0,0,0
"980",182,12,180,19,14,5,9
"981",180,15,184,18,21,4,7
"982",174,16,185,19,20,6,6
"983",174,16,181,20,13,7,3
"984",177,14,178,14,19,5,3
"985",174,0,179,0,0,0,0
"986",0,0,2,0,0,0,0
"987",173,1,177,2,2,0,0
"988",176,0,176,0,1,0,0
"989",1,0,1,0,0,0,0
"990",168,4,169,3,1,0,1
"991",170,0,187,0,0,0,0
"992",176,14,181,13,14,6,7
"993",0,0,1,0,0,0,0
"994",0,0,1,0,0,0,0
"995",0,0,1,0,0,0,0
"996",171,0,179,0,0,0,0
"997",174,0,187,0,0,0,0
"998",180,0,186,0,0,0,0
"999",176,0,173,0,0,0,0
"1000",180,0,183,0,0,0,0
"1001",174,15,183,20,20,4,7
"1002",1,0,1,0,0,0,0
"1003",176,9,177,15,14,6,3
"1004",171,15,176,17,17,6,6
"1005",171,0,175,0,1,1,0
"1006",181,0,180,0,0,0,0
"1007",173,0,174,0,0,0,0
"1008",176,14,173,13,22,6,2
"1009",0,0,1,0,0,0,0
"1010",171,0,172,0,0,0,0
"1011",0,0,1,0,0,0,0
"1012",176,3,183,3,3,0,0
"1013",175,0,185,0,0,0,0
"1014",175,0,170,0,0,0,0
"1015",179,12,176,14,16,7,8
"1016",0,0,1,0,0,0,0
"1017",0,0,1,0,0,0,0
"1018",173,0,174,0,0,0,0
"1019",174,0,178,0,0,0,0
"1020",172,0,184,0,0,0,0
"1021",178,0,184,0,0,0,0
"1022",177,0,185,0,0,0,0
"1023",0,0,1,0,0,0,0
"1024",174,0,178,0,0,0,0
"1025",175,13,180,16,13,5,3
"1026",173,0,170,0,0,0,0
"1027",164,0,177,0,0,0,0
"1028",158,0,166,0,0,0,0
"1029",177,13,178,17,13,7,3
"1030",0,0,1,0,0,0,0
"1031",1,0,2,0,0,0,0
"1032",173,0,176,0,0,0,0
"1033",176,0,180,0,0,0,0
"1034",170,0,184,0,0,0,0
"1035",182,0,176,0,1,1,0
"1036",174,0,167,0,0,0,0
"1037",0,0,1,0,0,0,0
"1038",179,0,178,0,0,0,0
"1039",0,0,1,0,0,0,0
"1040",0,0,1,0,0,0,0
"1041",177,0,182,0,0,0,0
"1042",177,12,173,17,18,6,9
"1043",170,0,171,0,0,0,1
"1044",0,0,2,0,0,0,0
"1045",0,0,1,0,0,0,0
"1046",174,13,179,16,16,2,6
"1047",183,0,184,0,1,0,0
"1048",181,0,188,0,0,0,0
"1049",178,0,177,0,1,0,0
"1050",0,0,1,0,0,0,0
"1051",176,0,180,0,0,0,0
"1052",0,0,1,0,0,0,0
"1053",0,0,1,0,0,0,0
"1054",0,0,1,0,0,0,0
"1055",175,0,177,1,0,0,0
"1056",0,0,1,0,0,0,0
"1057",163,0,176,1,0,0,0
"1058",172,0,176,0,0,0,0
"1059",173,0,184,1,0,0,0
"1060",0,0,1,0,0,0,0
"1061",181,0,180,0,0,0,0
"1062",0,0,1,0,0,0,0
"1063",171,15,179,17,17,6,9
"1064",0,0,1,0,0,0,0
"1065",174,14,182,10,18,5,2
"1066",172,3,173,1,1,0,0
"1067",179,1,176,7,3,0,0
"1068",176,0,171,0,0,0,0
"1069",168,0,177,1,0,0,0
"1070",169,0,175,0,1,0,0
"1071",173,0,164,0,0,1,0
"1072",166,0,160,0,0,0,0
"1073",176,13,179,21,13,3,6
"1074",172,0,181,0,0,0,0
"1075",178,12,172,12,15,4,3
"1076",172,0,178,0,0,0,0
"1077",170,0,164,0,0,0,0
"1078",172,0,175,0,0,1,0
"1079",166,0,179,0,0,0,0
"1080",176,0,173,0,0,0,0
"1081",180,15,187,14,10,6,7
"1082",171,0,176,0,0,0,0
"1083",160,0,177,0,0,0,0
"1084",171,0,194,0,0,0,0
"1085",1,0,1,0,0,0,0
"1086",174,0,171,0,0,0,0
"1087",180,0,182,0,0,0,0
"1088",171,0,177,0,0,0,0
"1089",168,12,172,12,17,2,1
"1090",0,0,1,0,0,0,0
"1091",170,0,184,0,0,0,0
"1092",177,0,188,0,0,0,0
"1093",174,0,174,0,0,0,0
"1094",179,0,183,0,0,0,0
"1095",175,0,178,0,0,0,0
"1096",177,0,182,0,1,1,0
"1097",175,1,170,1,0,0,0
"1098",178,12,188,15,15,4,2
"1099",171,0,175,0,0,0,0
"1100",176,0,186,0,0,0,0
"1101",175,0,186,0,0,0,0
"1102",170,15,172,15,19,2,3
"1103",169,0,176,0,0,0,0
"1104",173,0,179,0,0,0,0
"1105",0,0,1,0,0,0,0
"1106",181,16,176,18,17,5,2
"1107",165,0,165,0,0,0,0
"1108",0,0,1,0,0,0,0
"1109",170,14,184,13,19,4,4
"1110",179,0,184,0,0,0,0
"1111",0,0,1,0,0,0,0
"1112",172,0,195,0,0,0,0
"1113",176,0,182,0,0,0,0
"1114",169,0,179,0,0,0,0
"1115",174,0,170,0,1,0,0
"1116",173,0,171,0,0,0,0
"1117",179,0,177,0,0,0,0
"1118",0,0,1,0,0,0,0
"1119",176,0,183,0,0,1,0
"1120",162,3,172,0,2,1,0
"1121",173,15,192,18,20,6,7
"1122",179,0,168,0,1,0,0
"1123",176,0,178,1,1,0,0
"1124",180,0,170,0,0,0,0
"1125",167,0,179,0,0,0,0
"1126",181,14,188,18,17,8,9
"1127",175,16,168,16,16,3,6
"1128",175,13,179,18,17,6,3
"1129",0,0,1,0,0,0,0
"1130",171,15,183,13,18,7,4
"1131",177,0,176,0,0,0,0
"1132",174,0,175,0,0,0,0
"1133",181,1,189,0,0,0,0
"1134",177,8,181,11,12,1,2
"1135",172,0,181,0,0,0,0
"1136",177,13,178,15,12,4,4
"1137",178,0,177,0,0,0,0
"1138",173,15,186,19,20,8,6
"1139",173,0,178,0,0,0,0
"1140",168,0,174,0,0,0,0
"1141",178,0,167,0,0,0,0
"1142",170,1,170,2,2,1,1
"1143",172,14,177,19,20,5,3
"1144",171,16,172,17,19,3,3
"1145",178,13,187,12,12,4,3
"1146",176,0,179,0,0,0,0
"1147",179,0,182,0,0,0,0
"1148",172,0,186,0,0,0,0
"1149",177,0,185,0,0,0,0
"1150",0,0,1,0,0,0,0
"1151",178,11,175,15,16,6,4
"1152",0,0,1,0,0,0,0
"1153",172,14,184,18,15,7,8
"1154",172,0,178,0,0,0,0
"1155",177,14,179,14,14,3,3
"1156",171,13,176,16,19,5,7
"1157",175,0,170,0,0,0,0
"1158",174,0,190,0,0,0,0
"1159",171,0,175,0,0,0,0
"1160",169,0,172,0,0,0,0
"1161",171,0,169,1,0,0,0
"1162",167,0,181,0,0,0,0
"1163",175,14,188,21,17,7,8
"1164",171,14,181,17,17,4,4
"1165",177,14,185,13,22,4,7
"1166",170,0,173,0,0,0,0
"1167",176,1,176,0,0,0,0
"1168",175,0,189,0,0,0,0
"1169",174,0,186,0,0,0,0
"1170",178,0,165,0,0,0,0
"1171",177,13,173,19,18,5,5
"1172",176,0,180,0,0,0,0
"1173",0,0,2,0,0,0,0
"1174",172,0,174,0,0,0,0
"1175",171,0,180,0,0,0,0
"1176",174,0,178,1,0,0,0
"1177",172,0,183,0,0,0,0
"1178",179,0,186,0,0,0,0
"1179",173,0,176,0,0,0,0
"1180",0,0,1,0,0,0,0
"1181",168,0,176,0,0,0,0
"1182",181,0,173,0,0,0,0
"1183",174,0,180,0,0,0,0
"1184",174,0,172,0,0,0,0
"1185",172,15,191,21,22,4,5
"1186",170,0,187,0,0,0,0
"1187",179,0,181,0,0,0,0
"1188",168,0,166,0,0,0,0
"1189",170,13,176,17,15,4,2
"1190",177,0,172,0,0,0,0
"1191",175,0,180,0,0,0,0
"1192",172,0,167,2,0,0,1
"1193",177,0,176,3,0,0,0
"1194",167,0,183,0,0,0,0
"1195",175,15,183,21,18,8,3
"1196",175,0,170,0,0,0,0
"1197",166,0,156,0,0,0,0
"1198",0,0,1,0,0,0,0
"1199",176,0,169,0,0,0,0
"1200",169,0,174,0,0,0,0
"1201",176,2,177,4,1,1,0
"1202",175,0,184,0,0,0,0
"1203",170,13,175,15,19,9,2
"1204",166,0,167,0,0,0,1
"1205",178,0,178,0,0,0,0
"1206",173,0,175,0,0,0,0
"1207",175,0,177,0,1,0,0
"1208",168,0,176,0,0,0,0
"1209",171,12,172,18,18,3,2
"1210",176,13,188,17,17,7,7
"1211",170,0,170,0,0,0,0
"1212",180,13,175,19,25,9,7
"1213",176,0,181,0,0,0,0
"1214",0,0,1,0,0,0,0
"1215",172,0,179,0,0,0,0
"1216",174,0,181,0,0,0,0
"1217",171,0,165,0,1,0,0
"1218",172,0,174,0,0,0,0
"1219",163,14,182,16,21,5,3
"1220",174,0,183,0,0,0,0
"1221",172,14,176,19,20,5,5
"1222",167,0,184,0,0,0,0
"1223",171,14,181,14,14,5,4
"1224",172,14,190,14,15,7,5
"1225",176,0,180,0,0,0,0
"1226",174,0,171,0,0,0,0
"1227",173,12,171,15,16,6,3
"1228",176,15,180,20,18,7,5
"1229",173,0,174,1,1,0,0
"1230",0,0,1,0,0,0,0
"1231",174,0,178,0,0,0,0
"1232",173,10,174,14,16,6,4
"1233",169,0,177,0,0,0,0
"1234",177,0,178,0,0,0,0
"1235",171,0,186,0,0,0,0
"1236",173,0,182,0,0,0,0
"1237",172,1,183,0,0,0,0
"1238",172,12,189,17,11,8,1
"1239",173,0,180,0,0,0,0
"1240",179,0,182,0,0,0,0
"1241",171,0,169,1,0,0,0
"1242",175,0,184,0,0,0,0
"1243",0,0,1,0,0,0,0
"1244",171,0,164,0,0,0,0
"1245",175,0,185,0,0,0,0
"1246",175,0,175,0,0,0,0
"1247",171,0,179,0,1,0,0
"1248",175,14,186,18,15,6,4
"1249",174,15,179,19,19,10,7
"1250",174,0,175,0,0,0,0
"1251",0,0,1,0,0,0,0
"1252",0,0,1,0,0,0,0
"1253",168,0,182,0,0,0,0
"1254",0,0,2,0,0,0,0
"1255",169,0,158,0,0,0,0
"1256",171,0,174,0,0,0,0
"1257",1,0,1,0,0,0,0
"1258",171,0,166,0,0,0,0
"1259",175,0,181,0,0,0,0
"1260",0,0,1,0,0,0,0
"1261",170,0,172,0,0,0,0
"1262",176,0,165,0,0,0,0
"1263",171,0,173,0,0,0,0
"1264",173,0,168,0,0,0,0
"1265",0,0,1,0,0,0,0
"1266",0,0,1,0,0,0,0
"1267",175,0,182,0,0,0,0
"1268",0,0,1,0,0,0,0
"1269",169,0,182,0,0,0,0
"1270",170,15,176,19,21,7,5
"1271",178,1,178,0,0,0,1
"1272",176,0,174,0,0,0,0
"1273",175,0,173,0,0,0,0
"1274",0,0,1,0,0,0,0
"1275",170,0,178,0,0,0,0
"1276",179,16,175,16,16,4,5
"1277",174,0,191,1,0,0,0
"1278",0,0,1,0,0,0,0
"1279",170,0,174,0,0,0,0
"1280",1,0,1,0,0,0,0
"1281",176,0,168,0,0,0,0
"1282",174,0,175,0,0,0,0
"1283",0,0,0,0,0,0,0
"1284",172,10,179,14,14,1,2
"1285",173,0,163,0,0,0,0
"1286",175,0,181,0,0,0,0
"1287",0,0,1,0,0,0,0
"1288",0,0,1,0,0,0,0
"1289",171,12,181,15,11,4,5
"1290",176,13,181,17,16,5,4
"1291",174,1,180,1,2,0,0
"1292",179,15,183,16,21,3,8
"1293",171,0,177,0,0,0,0
"1294",174,0,180,0,0,0,0
"1295",0,0,1,0,0,0,0
"1296",167,0,184,0,0,0,0
"1297",176,0,179,0,0,0,0
"1298",175,15,186,14,20,8,3
"1299",177,0,170,0,0,0,0
"1300",176,0,187,0,0,0,0
"1301",170,12,174,12,16,2,3
"1302",177,16,174,17,15,8,4
"1303",0,0,1,0,0,0,0
"1304",172,0,175,0,0,0,0
"1305",173,0,172,0,0,0,0
"1306",173,0,181,0,0,0,0
"1307",171,0,176,0,1,0,0
"1308",174,0,171,0,0,0,0
"1309",173,0,177,0,0,0,1
"1310",0,0,1,0,0,0,0
"1311",1,0,2,0,0,0,0
"1312",167,0,181,0,0,0,0
"1313",173,0,177,0,0,0,0
"1314",175,0,175,0,0,0,0
"1315",171,0,181,0,0,0,0
"1316",168,0,173,0,0,0,0
"1317",174,0,168,0,0,0,0
"1318",171,0,173,0,0,0,0
"1319",176,0,177,0,0,0,0
"1320",181,0,177,0,0,0,0
"1321",161,2,179,1,0,0,0
"1322",0,0,1,0,0,0,0
"1323",164,0,184,0,0,0,0
"1324",170,0,181,0,0,0,0
"1325",0,0,1,0,0,0,0
"1326",172,0,160,0,0,0,0
"1327",174,13,176,19,21,5,5
"1328",176,0,183,0,0,0,0
"1329",164,0,176,0,0,0,0
"1330",168,0,179,0,0,0,0
"1331",173,0,172,0,0,0,0
"1332",172,0,177,0,0,0,1
"1333",171,16,185,19,22,8,7
"1334",168,0,173,0,0,0,0
"1335",0,0,1,0,0,0,0
"1336",170,14,170,17,15,3,4
"1337",165,13,178,16,21,6,2
"1338",170,0,175,0,0,0,0
"1339",0,0,0,0,0,0,0
"1340",170,0,169,0,0,0,0
"1341",174,0,165,0,0,0,0
"1342",170,0,174,0,0,0,0
"1343",168,0,170,0,0,0,0
"1344",171,15,180,18,17,8,6
"1345",173,15,179,14,20,5,5
"1346",0,0,1,0,0,0,0
"1347",169,1,169,0,0,0,0
"1348",173,1,180,2,4,0,0
"1349",171,0,179,0,0,0,0
"1350",175,0,184,0,0,0,0
"1351",176,0,180,0,0,0,0
"1352",176,14,177,11,15,5,5
"1353",0,0,2,0,0,0,0
"1354",174,15,169,19,15,4,4
"1355",179,0,174,0,0,0,0
"1356",169,0,174,0,0,0,0
"1357",179,0,181,0,0,0,0
