"","age1_orange.H","age1_green.H","age2_no_comorbid_orange.H","age2_no_comorbid_green.H","age2_comorbid_green.H","age3_no_comorbid_green.H","age3_comorbid_green.H"
"1",2.12765957446809,0,1.41509433962264,0,0,0,0
"2",1.06382978723404,0,1.88679245283019,4.26439232409382,12.779552715655,9.09090909090909,10.7238605898123
"3",1.59574468085106,0,1.41509433962264,0,0,0,0
"4",1.59574468085106,0,1.41509433962264,0,0,0,0
"5",0,0,0,0,0,0,0
"6",2.12765957446809,0,2.35849056603774,0,0,0,0
"7",1.59574468085106,0,2.35849056603774,0,0,0,0
"8",1.59574468085106,0,1.41509433962264,0,0,0,0
"9",1.06382978723404,0,0.943396226415094,0,0,0,0
"10",1.06382978723404,0,1.41509433962264,0,0,0,0
"11",0,0,0,0,0,0,0
"12",2.12765957446809,0,1.88679245283019,0,0,0,0
"13",1.59574468085106,0,1.41509433962264,0,0,0,0
"14",0,0,0,0,0,0,0
"15",1.06382978723404,0,1.41509433962264,0,0,0,0
"16",1.06382978723404,0,0.471698113207547,0,0,0,0
"17",0,0,0,0,0,0,0
"18",1.06382978723404,0,1.41509433962264,0,0,0,0
"19",1.06382978723404,0,1.88679245283019,0,6.38977635782748,9.09090909090909,10.7238605898123
"20",1.59574468085106,0,1.88679245283019,0,0,0,0
"21",0,0,0,0,0,0,0
"22",2.12765957446809,0,0.471698113207547,0,6.38977635782748,9.09090909090909,10.7238605898123
"23",0.531914893617021,0,1.41509433962264,0,0,0,0
"24",1.59574468085106,0,0.943396226415094,0,0,0,0
"25",0.531914893617021,0,1.88679245283019,0,0,0,0
"26",0.531914893617021,6.41025641025641,0.471698113207547,8.52878464818763,3.19488817891374,9.09090909090909,10.7238605898123
"27",1.59574468085106,0,1.88679245283019,0,0,0,0
"28",1.06382978723404,0,1.41509433962264,0,0,0,0
"29",1.06382978723404,0,1.41509433962264,0,0,0,0
"30",0,0,0,0,0,0,0
"31",0.531914893617021,6.41025641025641,0.471698113207547,0,9.58466453674121,9.09090909090909,16.0857908847185
"32",1.06382978723404,0,1.41509433962264,0,0,0,0
"33",2.12765957446809,0,1.41509433962264,0,0,0,0
"34",0,0,0,0,0,0,0
"35",1.59574468085106,0,1.41509433962264,0,0,0,0
"36",1.59574468085106,0,1.41509433962264,0,0,0,0
"37",1.06382978723404,0,0.471698113207547,0,3.19488817891374,0,0
"38",1.59574468085106,6.41025641025641,0.943396226415094,4.26439232409382,3.19488817891374,9.09090909090909,10.7238605898123
"39",0,0,0,0,0,0,0
"40",1.06382978723404,0,0.943396226415094,0,3.19488817891374,0,0
"41",0,0,0,0,0,0,0
"42",1.59574468085106,0,0.943396226415094,0,0,0,0
"43",0,0,0,0,0,0,0
