"","age1_orange.S","age1_green.S","age2_no_comorbid_orange.S","age2_no_comorbid_green.S","age2_comorbid_green.S","age3_no_comorbid_green.S","age3_comorbid_green.S"
"1072",15,16,43,23,31,11,19
"1073",6,1,21,1,6,6,4
"1074",6,16,17,23,31,11,19
"1075",5,4,22,9,12,6,12
"1076",8,16,22,23,31,11,19
"1077",8,16,38,23,31,11,19
"1078",6,16,30,23,31,10,19
"1079",9,16,23,23,31,11,19
"1080",6,16,26,23,31,11,19
"1081",2,1,13,6,18,5,8
"1082",9,16,23,23,31,11,19
"1083",15,16,25,23,31,11,19
"1084",5,16,9,23,31,11,18
"1085",187,16,211,23,31,11,19
"1086",7,16,31,23,31,11,19
"1087",3,16,21,23,31,11,19
"1088",4,16,21,23,31,11,19
"1089",13,4,27,11,9,8,14
"1090",188,16,211,23,31,11,19
"1091",8,16,20,23,31,11,19
"1092",6,16,11,23,31,11,19
"1093",4,16,26,23,31,11,19
"1094",7,16,20,23,31,11,19
"1095",10,16,22,23,31,11,19
"1096",4,16,24,23,29,10,19
"1097",11,15,29,22,31,11,19
"1098",3,4,13,7,11,6,8
"1099",8,16,26,23,30,11,19
"1100",7,16,21,23,31,11,19
"1101",4,16,16,23,31,11,19
"1102",10,1,25,8,7,6,13
"1103",13,16,26,23,31,11,19
"1104",8,16,25,23,31,11,19
"1105",188,16,211,23,31,11,19
"1106",6,0,24,4,6,5,12
"1107",11,16,33,23,31,11,19
"1108",188,16,211,23,31,11,19
"1109",13,1,20,7,8,5,6
"1110",2,16,21,23,31,11,19
"1111",188,16,211,23,31,11,19
"1112",5,16,13,23,31,11,19
"1113",7,16,21,23,31,11,19
"1114",4,16,24,23,31,11,19
"1115",5,16,33,23,30,11,18
"1116",6,16,25,23,31,11,19
"1117",4,16,25,23,31,11,19
"1118",188,16,211,23,31,11,19
"1119",9,16,18,23,31,10,19
"1120",16,13,30,23,28,9,18
"1121",10,1,9,2,4,3,5
"1122",8,16,29,23,30,11,19
"1123",5,16,22,22,30,11,19
"1124",7,16,27,23,31,11,19
"1125",10,16,24,23,31,11,19
"1126",1,0,13,5,5,1,4
"1127",10,0,34,7,8,7,7
"1128",5,2,20,5,6,3,9
"1129",188,16,211,23,31,11,19
"1130",9,0,20,9,6,2,5
"1131",3,16,25,23,31,11,19
"1132",11,16,29,23,31,11,19
"1133",2,15,15,23,31,11,19
"1134",5,8,19,12,15,10,8
"1135",7,16,26,23,31,11,19
"1136",5,3,19,8,11,6,8
"1137",4,16,21,23,31,11,19
"1138",6,0,20,3,5,2,6
"1139",9,16,27,23,31,11,19
"1140",13,16,23,23,31,11,19
"1141",5,16,38,23,31,11,19
"1142",11,15,29,21,29,10,17
