Governorate,District,Sub-district,Cluster,Community,Total_pop,Total number of males,Total number of females,Males from 0 to 6 months of age,Males from 6 to 12 months of age,Males from 1 to 2 years of age,Males from 3 to 5 years of age,Males from 6 to 12 years of age,Males from 13 to 17 years of age,Males from 18 to 50 years of age,Males above 50 years of age,Females from 0 to 6 months of age,Females from 6 to 12 months of age,Females from 1 to 2 years of age,Females from 3 to 5 years of age,Females from 6 to 12 years of age,Females from 13 to 17 years of age,Females from 18 to 50 years of age,Females above 50 years of age,total_0_6_months,total_6_12_months,total_1_2,total_3_5,total_6_12,total_13_17,total_18_50,total_over50,Diabetes,Hypertension,Chronic cardiovascular diseases,Chronic respiratory diseases,Chronic kidney failure,Prop_Total number of males,Prop_Total number of females,Prop_total_0_6_months,Prop_total_6_12_months,Prop_total_1_2,Prop_total_3_5,Prop_total_6_12,Prop_total_13_17,Prop_total_18_50,Prop_total_over50,Prop_Diabetes,Prop_Hypertension,Prop_Chronic cardiovascular diseases,Prop_Chronic respiratory diseases,Prop_Chronic kidney failure,Prop_Males from 0 to 6 months of age,Prop_Males from 6 to 12 months of age,Prop_Males from 1 to 2 years of age,Prop_Males from 3 to 5 years of age,Prop_Males from 6 to 12 years of age,Prop_Males from 13 to 17 years of age,Prop_Males from 18 to 50 years of age,Prop_Males above 50 years of age,Prop_Females from 0 to 6 months of age,Prop_Females from 6 to 12 months of age,Prop_Females from 1 to 2 years of age,Prop_Females from 3 to 5 years of age,Prop_Females from 6 to 12 years of age,Prop_Females from 13 to 17 years of age,Prop_Females from 18 to 50 years of age,Prop_Females above 50 years of age
SY02,SY0204,SY020400,Bab Al Salameh,C1561,6607,3071,3536,62,65,131,349,500,504,1375,85,64,82,170,466,560,580,1515,99,126,147,301,815,1060,1084,2890,184,20,19,0,85,0,0.4648100499470259,0.5351899500529741,0.019070682609353715,0.02224912971091267,0.04555774178901165,0.12335401846526411,0.16043590131678523,0.16406841228999547,0.4374148630240654,0.027849250794611775,0.003027092477675193,0.002875737853791433,0,0.01286514303011957,0,0.020188863562357537,0.021165744057310323,0.04265711494627157,0.11364376424617388,0.16281341582546402,0.16411592315206774,0.44773689352002605,0.027678280690328884,0.01809954751131222,0.02319004524886878,0.04807692307692308,0.13178733031674209,0.1583710407239819,0.16402714932126697,0.42845022624434387,0.027997737556561087
SY02,SY0208,SY020800,Jarablus,C2220,9219,4415,4804,141,184,303,355,493,684,2033,222,153,202,371,452,533,715,2085,293,294,386,674,807,1026,1399,4118,515,145,40,40,35,4,0.47890226705716454,0.5210977329428355,0.03189066059225513,0.041870050981668294,0.07310988176591822,0.0875366091767003,0.11129189716889033,0.15175181689988068,0.44668619156090683,0.05586289185378024,0.015728387026792495,0.004338865386701377,0.004338865386701377,0.0037965072133637054,4.3388653867013776e-4,0.031936579841449604,0.04167610419026047,0.06862967157417893,0.08040770101925254,0.1116647791619479,0.15492638731596828,0.460475651189128,0.05028312570781427,0.03184845961698585,0.04204829308909242,0.07722731057452123,0.09408825978351373,0.11094920899250625,0.14883430474604498,0.43401332223147376,0.060990840965861784
SY02,SY0208,SY020800,Jarablus,C2227,9074,4518,4556,140,130,233,432,502,490,2346,245,147,136,241,433,505,509,2302,283,287,266,474,865,1007,999,4648,528,0,0,0,0,0,0.4979061053559621,0.5020938946440379,0.031628829623098965,0.029314525016530747,0.05223716111968261,0.09532730879435751,0.11097641613400926,0.11009477628388803,0.512232752920432,0.05818823010800088,0,0,0,0,0,0.03098716246126605,0.02877379371403276,0.051571491810535636,0.09561752988047809,0.1111111111111111,0.10845506861443116,0.5192563081009296,0.05422753430721558,0.03226514486391571,0.029850746268656716,0.0528972783143108,0.0950395083406497,0.11084284460052678,0.11172080772607551,0.5052677787532923,0.06211589113257243
SY07,SY0703,SY070301,Deir Hassan,C4121,5042,2579,2463,67,100,199,432,380,309,1005,87,81,119,154,384,365,271,993,96,148,219,353,816,745,580,1998,183,220,461,34,3,3,0.5115033716779056,0.4884966283220944,0.029353431178103927,0.043435144783815945,0.0700119000396668,0.16184053946846488,0.14775882586275288,0.11503371677905593,0.39627132090440303,0.03629512098373661,0.0436334787782626,0.0914319714399048,0.006743355811186037,5.950019833399445e-4,5.950019833399445e-4,0.025979061651803026,0.038774718883288095,0.07716169057774332,0.16750678557580456,0.14734393175649477,0.11981388134936022,0.3896859247770454,0.033734005428460646,0.03288672350791717,0.04831506293138449,0.06252537555826228,0.1559074299634592,0.14819326025172555,0.11002842062525375,0.40316686967113274,0.0389768574908648
SY07,SY0703,SY070301,Sarmada,C4121,1022,495,527,21,28,38,55,68,67,169,49,24,31,42,60,67,70,186,47,45,59,80,115,135,137,355,96,0,0,0,0,0,0.4843444227005871,0.5156555772994129,0.04403131115459882,0.057729941291585124,0.07827788649706457,0.11252446183953033,0.13209393346379647,0.13405088062622308,0.3473581213307241,0.09393346379647749,0,0,0,0,0,0.04242424242424243,0.05656565656565657,0.07676767676767676,0.1111111111111111,0.13737373737373737,0.13535353535353536,0.3414141414141414,0.09898989898989899,0.04554079696394687,0.058823529411764705,0.07969639468690702,0.11385199240986717,0.127134724857685,0.13282732447817835,0.35294117647058826,0.08918406072106262
SY07,SY0703,SY070301,Deir Hassan,C4122,7580,3525,4055,156,332,393,529,620,636,583,276,207,367,449,615,653,822,634,308,363,699,842,1144,1273,1458,1217,584,0,0,0,0,0,0.4650395778364116,0.5349604221635884,0.04788918205804749,0.09221635883905013,0.11108179419525066,0.15092348284960422,0.1679419525065963,0.19234828496042217,0.16055408970976254,0.07704485488126649,0,0,0,0,0,0.04425531914893617,0.09418439716312056,0.11148936170212766,0.1500709219858156,0.17588652482269504,0.1804255319148936,0.16539007092198582,0.07829787234042553,0.051048088779284836,0.0905055487053021,0.11072749691738594,0.15166461159062886,0.16103575832305794,0.20271270036991368,0.1563501849568434,0.07595561035758323
SY07,SY0703,SY070301,Deir Hassan,C4126,802,320,482,24,37,45,26,31,47,92,18,41,62,26,42,56,32,198,25,65,99,71,68,87,79,290,43,0,0,0,0,0,0.39900249376558605,0.600997506234414,0.08104738154613467,0.12344139650872818,0.0885286783042394,0.08478802992518704,0.1084788029925187,0.09850374064837905,0.36159600997506236,0.05361596009975062,0,0,0,0,0,0.075,0.115625,0.140625,0.08125,0.096875,0.146875,0.2875,0.05625,0.08506224066390042,0.12863070539419086,0.05394190871369295,0.08713692946058091,0.11618257261410789,0.06639004149377593,0.4107883817427386,0.05186721991701245
SY07,SY0703,SY070301,Sarmada,C4126,445,222,223,8,12,19,23,29,26,78,27,9,10,20,24,26,28,75,31,17,22,39,47,55,54,153,58,0,0,0,0,0,0.49887640449438203,0.501123595505618,0.038202247191011236,0.04943820224719101,0.08764044943820225,0.10561797752808989,0.12359550561797752,0.12134831460674157,0.3438202247191011,0.1303370786516854,0,0,0,0,0,0.036036036036036036,0.05405405405405406,0.08558558558558559,0.1036036036036036,0.13063063063063063,0.11711711711711711,0.35135135135135137,0.12162162162162163,0.04035874439461883,0.04484304932735426,0.08968609865470852,0.10762331838565023,0.11659192825112108,0.12556053811659193,0.336322869955157,0.13901345291479822
SY07,SY0703,SY070301,Deir Hassan,C4129,6648,3220,3428,145,182,216,312,828,522,805,210,188,209,294,343,656,555,996,187,333,391,510,655,1484,1077,1801,397,0,0,0,0,0,0.4843561973525872,0.5156438026474127,0.050090252707581225,0.05881468110709988,0.07671480144404332,0.09852587244283995,0.22322503008423586,0.16200361010830325,0.27090854392298436,0.05971720818291215,0,0,0,0,0,0.04503105590062112,0.05652173913043478,0.0670807453416149,0.0968944099378882,0.2571428571428571,0.16211180124223604,0.25,0.06521739130434782,0.05484247374562427,0.06096849474912486,0.08576429404900816,0.1000583430571762,0.19136522753792298,0.16190198366394398,0.29054842473745623,0.05455075845974329
SY07,SY0703,SY070301,Atma,C4130,87638,41771,45867,1414,1624,2535,4343,6914,5640,16818,2483,1586,1820,2763,4809,7594,6358,18221,2716,3000,3444,5298,9152,14508,11998,35039,5199,54,6,40,52,4,0.47663114174216664,0.5233688582578334,0.03423172596362309,0.0392980214062393,0.06045322805175837,0.10442958533969282,0.16554462676008125,0.13690408270384993,0.39981514867979645,0.059323581094958805,6.161710673452156e-4,6.846345192724617e-5,4.5642301284830783e-4,5.933499167028001e-4,4.5642301284830784e-5,0.0338512365037945,0.03887864786574418,0.06068803715496397,0.10397165497594024,0.16552153407866702,0.13502190514950563,0.4026238299298556,0.05944315434152881,0.03457823707676543,0.03967994418645213,0.060239387795146836,0.10484662175420237,0.1655656572263283,0.1386181786469575,0.397257287374365,0.059214685939782415
