Governorate,District,Sub-district,Total_pop,Total number of males,Total number of females,Males from 0 to 6 months of age,Males from 6 to 12 months of age,Males from 1 to 2 years of age,Males from 3 to 5 years of age,Males from 6 to 12 years of age,Males from 13 to 17 years of age,Males from 18 to 50 years of age,Males above 50 years of age,Females from 0 to 6 months of age,Females from 6 to 12 months of age,Females from 1 to 2 years of age,Females from 3 to 5 years of age,Females from 6 to 12 years of age,Females from 13 to 17 years of age,Females from 18 to 50 years of age,Females above 50 years of age,total_0_6_months,total_6_12_months,total_1_2,total_3_5,total_6_12,total_13_17,total_18_50,total_over50,Diabetes,Hypertension,Chronic cardiovascular diseases,Chronic respiratory diseases,Chronic kidney failure,Prop_Total number of males,Prop_Total number of females,Prop_total_0_6_months,Prop_total_6_12_months,Prop_total_1_2,Prop_total_3_5,Prop_total_6_12,Prop_total_13_17,Prop_total_18_50,Prop_total_over50,Prop_Diabetes,Prop_Hypertension,Prop_Chronic cardiovascular diseases,Prop_Chronic respiratory diseases,Prop_Chronic kidney failure,Prop_Males from 0 to 6 months of age,Prop_Males from 6 to 12 months of age,Prop_Males from 1 to 2 years of age,Prop_Males from 3 to 5 years of age,Prop_Males from 6 to 12 years of age,Prop_Males from 13 to 17 years of age,Prop_Males from 18 to 50 years of age,Prop_Males above 50 years of age,Prop_Females from 0 to 6 months of age,Prop_Females from 6 to 12 months of age,Prop_Females from 1 to 2 years of age,Prop_Females from 3 to 5 years of age,Prop_Females from 6 to 12 years of age,Prop_Females from 13 to 17 years of age,Prop_Females from 18 to 50 years of age,Prop_Females above 50 years of age
SY02,SY0204,SY020400,13135,6322,6813,165,176,319,578,991,1031,2860,202,187,207,405,735,1151,1027,2928,173,352,383,724,1313,2142,2058,5788,375,20,19,0,85,0,0.4813094784925771,0.5186905215074229,0.026798629615531023,0.029158736200989722,0.0551199086410354,0.09996193376475067,0.16307575180814618,0.1566806242862581,0.44065473924628856,0.02854967643700038,0.0015226494099733537,0.0014465169394746859,0,0.006471259992386753,0,0.02609933565327428,0.027839291363492565,0.05045871559633028,0.091426763682379,0.15675419171148372,0.16308130338500473,0.4523884846567542,0.03195191395128124,0.027447526787024806,0.03038309114927345,0.059445178335535004,0.10788199031263761,0.16894172904740937,0.15074123000146777,0.42976662263320126,0.025392631733450757
SY02,SY0208,SY020800,18293,8933,9360,281,314,536,787,995,1174,4379,467,300,338,612,885,1038,1224,4387,576,581,652,1148,1672,2033,2398,8766,1043,145,40,40,35,4,0.48832886896627126,0.5116711310337287,0.03176078281309791,0.0356420488711529,0.06275624555841032,0.09140108238123873,0.1111354069862789,0.13108839446782922,0.47919969387197286,0.05701634505001913,0.007926529273492593,0.002186628765101405,0.002186628765101405,0.0019133001694637292,2.1866287651014048e-4,0.03145639762677712,0.03515056531960148,0.060002238889510805,0.08810030225008396,0.11138475316243143,0.1314228142841151,0.4902048583902384,0.05227807007724169,0.03205128205128205,0.03611111111111111,0.06538461538461539,0.09455128205128205,0.11089743589743589,0.13076923076923078,0.4686965811965812,0.06153846153846154
SY07,SY0703,SY070301,211453,101542,109911,3517,4214,6669,11181,16699,14976,38060,6226,3890,4636,7132,12127,17635,16503,41268,6720,7407,8850,13801,23308,34334,31479,79328,12946,334,622,109,90,8,0.48021073240862033,0.5197892675913797,0.035029060831485014,0.04185327235839643,0.06526745896251177,0.11022780476039593,0.16237178001730881,0.1488699616463233,0.37515665419738664,0.06122400722619211,0.0015795472279891986,0.0029415520233810823,5.154809815892894e-4,4.256264985599637e-4,3.783346653866344e-5,0.03463591420298989,0.04150006893699159,0.0656772567016604,0.11011207185204153,0.16445411750802624,0.14748576943530756,0.374820271414784,0.061314529948198776,0.035392271929106274,0.04217958166152615,0.06488886462683444,0.1103347253687074,0.16044799883542138,0.15014875672134728,0.37546742364276553,0.061140377214291566
SY07,SY0704,SY070401,13508,6254,7254,176,215,371,693,1188,996,2244,371,186,274,448,823,1313,1177,2573,460,362,489,819,1516,2501,2173,4817,831,0,0,0,0,0,0.46298489783831803,0.5370151021616819,0.026798933965057743,0.036200769914124964,0.06063073734083506,0.11222978975421972,0.1851495410127332,0.16086763399466983,0.3566034942256441,0.06151909979271543,0,0,0,0,0,0.028141989126958745,0.03437799808122802,0.059322033898305086,0.11080908218740007,0.18995842660697154,0.15925807483210744,0.358810361368724,0.059322033898305086,0.02564102564102564,0.037772263578715194,0.061759029500964985,0.11345464571271023,0.18100358422939067,0.16225530741659774,0.3547008547008547,0.06341328921974083
